episode,return,steps,epsilon,died
1,1.0,400,1.0,0
2,2.0,400,0.9986428571428572,0
3,2.0,400,0.9972857142857143,0
4,0.0,400,0.9959285714285714,0
5,2.0,82,0.9945714285714286,1
6,2.0,242,0.9932142857142857,1
7,0.0,400,0.9918571428571429,0
8,2.0,90,0.9905,1
9,0.0,400,0.9891428571428571,0
10,4.0,237,0.9877857142857143,1
11,0.0,400,0.9864285714285714,0
12,0.0,400,0.9850714285714286,0
13,0.0,400,0.9837142857142858,0
14,2.0,219,0.9823571428571428,1
15,0.0,400,0.981,0
16,1.0,400,0.9796428571428571,0
17,0.0,400,0.9782857142857143,0
18,2.0,379,0.9769285714285715,1
19,4.0,277,0.9755714285714285,1
20,0.0,400,0.9742142857142857,0
21,1.0,400,0.9728571428571429,0
22,1.0,400,0.9715,0
23,2.0,234,0.9701428571428572,1
24,0.0,400,0.9687857142857143,0
25,1.0,268,0.9674285714285714,1
26,2.0,400,0.9660714285714286,0
27,1.0,135,0.9647142857142857,1
28,1.0,129,0.9633571428571429,1
29,2.0,400,0.962,0
30,2.0,236,0.9606428571428571,1
31,2.0,275,0.9592857142857143,1
32,1.0,158,0.9579285714285715,1
33,2.0,400,0.9565714285714286,0
34,0.0,400,0.9552142857142857,0
35,2.0,400,0.9538571428571428,0
36,4.0,400,0.9525,0
37,2.0,276,0.9511428571428572,1
38,4.0,400,0.9497857142857142,0
39,1.0,400,0.9484285714285714,0
40,0.0,400,0.9470714285714286,0
41,0.0,400,0.9457142857142857,0
42,4.0,335,0.9443571428571429,1
43,2.0,400,0.9430000000000001,0
44,4.0,355,0.9416428571428571,1
45,0.0,400,0.9402857142857143,0
46,2.0,228,0.9389285714285714,1
47,2.0,400,0.9375714285714286,0
48,4.0,198,0.9362142857142857,1
49,4.0,390,0.9348571428571428,1
50,2.0,90,0.9335,1
51,2.0,184,0.9321428571428572,1
52,4.0,180,0.9307857142857143,1
53,0.0,400,0.9294285714285714,0
54,2.0,400,0.9280714285714285,0
55,4.0,391,0.9267142857142857,1
56,2.0,395,0.9253571428571429,1
57,4.0,336,0.924,1
58,4.0,307,0.9226428571428571,1
59,2.0,297,0.9212857142857143,1
60,0.0,400,0.9199285714285714,0
61,2.0,400,0.9185714285714286,0
62,0.0,400,0.9172142857142858,0
63,2.0,400,0.9158571428571429,0
64,4.0,287,0.9145,1
65,2.0,249,0.9131428571428571,1
66,1.0,400,0.9117857142857143,0
67,4.0,208,0.9104285714285714,1
68,4.0,117,0.9090714285714285,1
69,4.0,297,0.9077142857142857,1
70,2.0,135,0.9063571428571429,1
71,4.0,400,0.905,0
72,4.0,168,0.9036428571428572,1
73,1.0,288,0.9022857142857142,1
74,2.0,137,0.9009285714285714,1
75,2.0,400,0.8995714285714286,0
76,2.0,247,0.8982142857142857,1
77,4.0,115,0.8968571428571429,1
78,3.0,327,0.8955,1
79,4.0,400,0.8941428571428571,0
80,4.0,226,0.8927857142857143,1
81,0.0,400,0.8914285714285715,0
82,5.0,147,0.8900714285714286,0
83,2.0,134,0.8887142857142857,1
84,2.0,184,0.8873571428571428,1
85,4.0,343,0.886,1
86,2.0,400,0.8846428571428572,0
87,4.0,149,0.8832857142857142,1
88,4.0,274,0.8819285714285714,1
89,2.0,207,0.8805714285714286,1
90,3.0,152,0.8792142857142857,1
91,2.0,70,0.8778571428571429,1
92,4.0,345,0.8765000000000001,1
93,5.0,203,0.8751428571428571,0
94,4.0,129,0.8737857142857143,1
95,2.0,174,0.8724285714285714,1
96,4.0,121,0.8710714285714286,1
97,2.0,228,0.8697142857142857,1
98,4.0,221,0.8683571428571428,1
99,2.0,161,0.867,1
100,2.0,76,0.8656428571428572,1
101,4.0,229,0.8642857142857143,1
102,4.0,189,0.8629285714285715,1
103,2.0,155,0.8615714285714285,1
104,4.0,400,0.8602142857142857,0
105,2.0,400,0.8588571428571429,0
106,2.0,191,0.8575,1
107,2.0,94,0.8561428571428571,1
108,3.0,137,0.8547857142857143,1
109,4.0,156,0.8534285714285714,1
110,2.0,270,0.8520714285714286,1
111,4.0,138,0.8507142857142858,1
112,4.0,95,0.8493571428571429,1
113,2.0,87,0.848,1
114,3.0,60,0.8466428571428571,1
115,4.0,135,0.8452857142857143,1
116,4.0,97,0.8439285714285715,1
117,4.0,99,0.8425714285714285,1
118,4.0,120,0.8412142857142857,1
119,4.0,236,0.8398571428571429,1
120,4.0,148,0.8385,1
121,4.0,114,0.8371428571428572,1
122,4.0,355,0.8357857142857144,1
123,2.0,176,0.8344285714285714,1
124,4.0,294,0.8330714285714286,1
125,5.0,194,0.8317142857142857,0
126,2.0,76,0.8303571428571428,1
127,4.0,162,0.829,1
128,4.0,169,0.8276428571428571,1
129,4.0,93,0.8262857142857143,1
130,4.0,222,0.8249285714285715,1
131,4.0,72,0.8235714285714286,1
132,4.0,140,0.8222142857142858,1
133,4.0,400,0.8208571428571428,0
134,4.0,157,0.8195,1
135,4.0,70,0.8181428571428572,1
136,2.0,47,0.8167857142857142,1
137,4.0,118,0.8154285714285714,1
138,2.0,63,0.8140714285714286,1
139,5.0,184,0.8127142857142857,0
140,4.0,73,0.8113571428571429,1
141,4.0,145,0.81,1
142,4.0,117,0.8086428571428572,1
143,2.0,77,0.8072857142857143,1
144,2.0,166,0.8059285714285714,1
145,2.0,136,0.8045714285714286,1
146,4.0,173,0.8032142857142857,1
147,4.0,81,0.8018571428571428,1
148,4.0,103,0.8005,1
149,5.0,192,0.7991428571428572,0
150,2.0,54,0.7977857142857143,1
151,4.0,205,0.7964285714285715,1
152,2.0,183,0.7950714285714285,1
153,2.0,175,0.7937142857142857,1
154,4.0,85,0.7923571428571429,1
155,4.0,127,0.791,1
156,4.0,259,0.7896428571428572,1
157,4.0,93,0.7882857142857143,1
158,4.0,164,0.7869285714285714,1
159,4.0,138,0.7855714285714286,1
160,4.0,246,0.7842142857142858,1
161,4.0,146,0.7828571428571429,1
162,4.0,94,0.7815,1
163,1.0,122,0.7801428571428571,1
164,5.0,80,0.7787857142857143,0
165,4.0,123,0.7774285714285715,1
166,2.0,273,0.7760714285714285,1
167,4.0,138,0.7747142857142857,1
168,5.0,88,0.7733571428571429,0
169,4.0,158,0.772,1
170,4.0,125,0.7706428571428572,1
171,5.0,136,0.7692857142857144,0
172,4.0,277,0.7679285714285715,1
173,5.0,291,0.7665714285714286,0
174,4.0,148,0.7652142857142857,1
175,4.0,124,0.7638571428571428,1
176,4.0,156,0.7625,1
177,4.0,166,0.7611428571428571,1
178,2.0,64,0.7597857142857143,1
179,2.0,79,0.7584285714285715,1
180,3.0,89,0.7570714285714286,1
181,4.0,101,0.7557142857142858,1
182,4.0,123,0.7543571428571428,1
183,4.0,161,0.753,1
184,4.0,136,0.7516428571428572,1
185,5.0,103,0.7502857142857143,0
186,4.0,148,0.7489285714285714,1
187,5.0,148,0.7475714285714286,0
188,4.0,149,0.7462142857142857,1
189,5.0,75,0.7448571428571429,0
190,4.0,141,0.7435,1
191,2.0,97,0.7421428571428572,1
192,4.0,95,0.7407857142857144,1
193,4.0,304,0.7394285714285714,1
194,4.0,116,0.7380714285714286,1
195,4.0,97,0.7367142857142857,1
196,5.0,94,0.7353571428571428,0
197,4.0,85,0.734,1
198,2.0,60,0.7326428571428572,1
199,4.0,143,0.7312857142857143,1
200,4.0,43,0.7299285714285715,1
201,4.0,55,0.7285714285714286,1
202,4.0,108,0.7272142857142857,1
203,5.0,163,0.7258571428571429,0
204,4.0,98,0.7245,1
205,2.0,86,0.7231428571428571,1
206,4.0,93,0.7217857142857143,1
