#{"t_start": 1789238085.0670915, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-40.058306,208,34.16361,1,0,0,0,1,0.0,100.0,False
-28.748249,353,34.426796,1,0,5,0,37,100.0,100.0,False
-29.015056,365,34.700269,1,0,5,0,29,100.0,100.0,False
-32.127417,295,34.899093,1,0,4,0,14,80.0,100.0,False
-29.170995,366,35.187481,1,0,5,0,29,100.0,100.0,False
-40.757164,276,70.814243,1,0,0,0,2,0.0,100.0,False
-40.707153,253,70.987719,1,0,0,0,3,0.0,100.0,False
-40.755164,275,71.181054,1,0,0,0,2,0.0,100.0,False
-40.71792,266,71.366285,1,0,0,0,1,0.0,100.0,False
-40.742164,276,71.563033,1,0,0,0,1,0.0,100.0,False
2.320335,954,108.486282,1,0,20,0,112,410.0,100.0,False
-18.634167,525,108.876055,1,0,10,0,62,220.0,100.0,False
-17.402979,558,109.286605,1,0,10,0,74,220.0,100.0,False
-18.522406,616,109.797905,1,0,10,0,81,210.0,100.0,False
-29.111469,401,110.20606,1,0,5,0,43,110.0,100.0,False
-6.837155,749,147.575303,1,0,16,0,100,330.0,100.0,False
-7.072239,733,148.149527,1,0,16,0,98,330.0,100.0,False
-18.073236,486,148.512362,1,0,10,0,63,250.0,100.0,False
-34.246267,294,148.715784,1,0,3,0,37,70.0,100.0,False
11.813227,1052,149.521656,1,0,25,0,143,510.0,100.0,False
-32.709838,333,186.142087,1,0,4,0,42,80.0,100.0,False
-40.046085,188,186.266837,1,0,0,0,21,0.0,100.0,False
-31.422575,320,186.505617,1,0,4,0,40,110.0,100.0,False
-34.112918,289,186.747187,1,0,2,0,35,50.0,100.0,False
-22.266832,426,187.068115,1,0,8,0,55,180.0,100.0,False
-28.900668,421,223.870597,1,0,5,0,53,120.0,100.0,False
1.639174,910,224.62163,1,0,20,0,118,410.0,100.0,False
0.561973,893,225.334996,1,0,19,0,118,400.0,100.0,False
-20.833501,508,225.733576,1,0,8,0,66,200.0,100.0,False
-3.649949,823,226.431121,1,0,17,0,110,360.0,100.0,False
