#{"t_start": 1789238085.063938, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-39.817898,246,0.501387,1,0,0,0,16,20.0,100.0,False
-32.538986,280,1.056036,1,0,4,0,21,80.0,100.0,False
-40.0966,216,1.501019,1,0,0,0,18,20.0,100.0,False
-38.176926,234,1.964343,1,0,1,0,17,30.0,100.0,False
-34.618186,271,3.133513,1,0,2,0,24,80.0,100.0,False
-38.587507,205,3.560274,1,0,1,0,17,20.0,100.0,False
-34.583404,271,4.092757,1,0,3,0,23,60.0,100.0,False
-37.780239,254,4.579048,1,0,1,0,20,40.0,100.0,False
-36.264,231,5.551455,1,0,2,0,18,50.0,100.0,False
-39.887089,212,5.977379,1,0,0,0,19,10.0,100.0,False
-36.490686,293,6.583179,1,0,2,0,27,40.0,100.0,False
-39.364609,236,7.094435,1,0,0,0,20,40.0,100.0,False
-36.32421,299,8.314971,1,0,2,0,27,50.0,100.0,False
-38.531363,302,8.926998,1,0,1,0,28,30.0,100.0,False
-36.359247,273,9.488263,1,0,2,0,21,50.0,100.0,False
-36.258889,290,10.619172,1,0,2,0,23,60.0,100.0,False
-38.402514,285,11.255201,1,0,1,0,29,30.0,100.0,False
-36.328369,293,11.87363,1,0,2,0,24,50.0,100.0,False
-34.728417,400,12.809931,1,0,3,0,31,80.0,100.0,False
-31.489768,401,14.353804,1,0,4,0,38,110.0,100.0,False
-35.16954,386,15.150118,1,0,3,0,32,60.0,100.0,False
-36.42627,306,16.404578,1,0,2,0,26,50.0,100.0,False
-34.188922,381,17.274682,1,0,3,0,33,70.0,100.0,False
-38.266973,344,18.120561,1,0,1,0,26,40.0,100.0,False
-32.472847,367,19.493052,1,0,4,0,34,90.0,100.0,False
-39.491588,308,20.183331,1,0,0,0,27,30.0,100.0,False
-38.65396,321,20.869853,1,0,1,0,27,30.0,100.0,False
-38.776367,305,22.135674,1,0,1,0,27,30.0,100.0,False
-37.826517,312,22.844383,1,0,1,0,27,50.0,100.0,False
-36.896591,325,23.601273,1,0,2,0,27,40.0,100.0,False
-39.23239,312,24.301816,1,0,1,0,27,20.0,100.0,False
-34.162556,343,25.558019,1,0,3,0,31,70.0,100.0,False
-31.803525,423,26.508227,1,0,4,0,39,90.0,100.0,False
-35.663162,338,27.842707,1,0,2,0,33,60.0,100.0,False
-34.29493,384,28.723457,1,0,3,0,36,70.0,100.0,False
-35.012906,374,29.539626,1,0,3,0,31,60.0,100.0,False
-31.882587,380,30.950851,1,0,4,0,34,100.0,100.0,False
-31.205039,405,31.870904,1,0,4,0,42,120.0,100.0,False
-28.432841,478,32.951364,1,0,6,0,42,130.0,100.0,False
-31.360624,433,35.702072,1,0,4,0,40,110.0,100.0,False
-33.990728,381,36.54242,1,0,3,0,38,80.0,100.0,False
-35.705786,351,37.870068,1,0,2,0,34,70.0,100.0,False
-36.957404,340,38.690303,1,0,1,0,33,70.0,100.0,False
-37.077532,216,39.132147,1,0,1,0,19,40.0,100.0,False
-31.765217,350,40.417615,1,0,4,0,30,90.0,100.0,False
-20.726539,338,41.112662,1,0,4,1,33,140.0,100.0,False
-26.365363,480,42.10529,1,0,7,0,48,140.0,100.0,False
-29.987914,382,43.54186,1,0,5,0,28,120.0,100.0,False
-26.552043,256,44.114619,1,0,1,1,22,80.0,100.0,False
-37.631879,238,44.642954,1,0,1,0,18,40.0,100.0,False
-32.885856,378,46.011048,1,0,3,0,40,80.0,100.0,False
-33.007426,254,46.572105,1,0,3,0,23,80.0,100.0,False
-30.497745,445,47.554843,1,0,5,0,45,110.0,100.0,False
-37.032469,270,48.131744,1,0,1,0,22,50.0,100.0,False
-35.413886,311,49.537422,1,0,2,0,23,70.0,100.0,False
-40.003462,235,50.073713,1,0,0,0,14,10.0,100.0,False
-35.561464,238,50.564101,1,0,2,0,22,60.0,100.0,False
-25.597952,472,52.121358,1,0,7,0,48,150.0,100.0,False
-28.037087,431,53.077219,1,0,6,0,46,140.0,100.0,False
-26.844564,471,54.709944,1,0,6,0,52,150.0,100.0,False
-36.034956,307,55.361923,1,0,2,0,18,60.0,100.0,False
-37.986926,320,56.128817,1,0,1,0,20,40.0,100.0,False
-13.740281,700,58.293403,1,0,13,0,74,270.0,100.0,False
-34.042544,326,59.084771,1,0,3,0,24,70.0,100.0,False
-31.27621,330,60.334727,1,0,4,0,31,100.0,100.0,False
-29.997114,437,61.353872,1,0,5,0,46,120.0,100.0,False
-28.367438,461,62.532845,1,0,6,0,51,120.0,100.0,False
-34.427525,358,64.226357,1,0,2,0,39,80.0,100.0,False
-34.025706,320,65.033132,1,0,2,0,36,80.0,100.0,False
-32.53959,385,65.992826,1,0,3,0,44,90.0,100.0,False
-19.309873,562,67.799298,1,0,10,0,62,220.0,100.0,False
-32.853908,359,68.608599,1,0,3,0,38,90.0,100.0,False
-25.363384,473,70.391987,1,0,7,0,41,170.0,100.0,False
-37.64576,280,71.994277,1,0,1,0,25,30.0,100.0,False
-30.381777,337,72.742349,1,0,5,0,30,100.0,100.0,False
-15.658601,639,74.787129,1,0,11,0,76,250.0,100.0,False
-35.266032,311,75.518809,1,0,2,0,23,70.0,100.0,False
-23.641714,324,76.859278,1,0,3,1,40,110.0,100.0,False
-37.187362,314,77.547401,1,0,1,0,25,50.0,100.0,False
-20.201389,550,78.77902,1,0,9,0,68,220.0,100.0,False
-14.694366,643,80.92032,1,0,12,0,78,250.0,100.0,False
-20.685415,511,82.703233,1,0,9,0,64,210.0,100.0,False
-30.723874,388,83.579956,1,0,4,0,44,100.0,100.0,False
-12.61658,507,84.823344,1,0,8,1,60,220.0,100.0,False
1.817146,1101,88.278049,1,0,14,1,140,340.0,100.0,False
-10.386379,737,90.102283,1,0,14,0,90,300.0,100.0,False
-18.96503,609,92.040208,1,0,10,0,70,220.0,100.0,False
-18.369868,535,93.215565,1,0,10,0,68,210.0,100.0,False
-22.057966,473,94.952746,1,0,8,0,57,200.0,100.0,False
-18.256106,559,96.209386,1,0,10,0,72,230.0,100.0,False
-6.731022,772,98.582535,1,0,16,0,98,320.0,100.0,False
20.987637,1235,102.269953,1,0,29,0,156,610.0,100.0,False
-6.2813,780,104.753529,1,0,16,0,99,340.0,100.0,False
-37.999409,207,105.254547,1,0,0,0,26,30.0,100.0,False
11.17782,1041,110.830324,1,0,24,0,133,500.0,100.0,False
-19.417297,548,112.632463,1,0,10,0,69,220.0,100.0,False
-15.838279,560,113.97977,1,0,10,0,73,260.0,100.0,False
14.569653,1104,117.905895,1,0,26,0,141,530.0,100.0,False
-26.185882,441,118.939193,1,0,7,0,50,150.0,100.0,False
-27.563873,406,119.836053,1,0,6,0,41,140.0,100.0,False
-30.771289,324,121.224492,1,0,4,0,33,110.0,100.0,False
-33.745013,335,122.008558,1,0,3,0,36,90.0,100.0,False
-24.23807,397,122.941672,1,0,3,1,49,110.0,100.0,False
2.143453,881,125.483697,1,0,19,0,111,430.0,100.0,False
-31.801769,267,126.167412,1,0,4,0,31,90.0,100.0,False
-14.572139,639,128.106746,1,0,8,1,83,220.0,100.0,False
-6.309748,787,130.654061,1,0,16,0,101,330.0,100.0,False
-5.932039,768,133.000549,1,0,16,0,99,330.0,100.0,False
-15.177992,678,134.671012,1,0,12,0,84,240.0,100.0,False
-7.74838,772,137.208622,1,0,15,0,95,320.0,100.0,False
3.249762,895,139.958941,1,0,20,0,112,420.0,100.0,False
6.617656,964,143.024266,1,0,21,0,124,460.0,100.0,False
-32.913655,256,143.627462,1,0,3,0,30,80.0,100.0,False
-15.994917,599,145.642467,1,0,11,0,75,240.0,100.0,False
14.542692,437,146.586302,2,1,5,2,53,280.0,100.0,True
-26.029184,409,150.56191,1,0,6,0,52,140.0,100.0,False
-24.810244,482,151.709302,1,0,7,0,58,170.0,100.0,False
92.714727,2521,158.347569,2,1,35,3,324,900.0,100.0,True
-15.109632,628,160.444331,1,0,12,0,82,250.0,100.0,False
20.908012,1194,163.954517,1,0,28,0,155,600.0,100.0,False
-22.943281,483,165.621155,1,0,8,0,59,170.0,100.0,False
89.392877,883,168.170963,3,2,15,5,114,690.0,100.0,True
60.168767,2776,175.50481,1,0,38,1,357,820.0,100.0,False
-26.44392,448,177.2387,1,0,6,0,57,140.0,100.0,False
2.230613,915,179.95165,1,0,20,0,114,400.0,100.0,False
-9.696727,661,181.516298,1,0,14,0,85,310.0,100.0,False
-18.655931,614,183.645814,1,0,10,0,79,200.0,100.0,False
1.073109,910,187.715344,1,0,19,0,115,400.0,100.0,False
-32.718083,304,188.429775,1,0,3,0,39,80.0,100.0,False
8.545079,1039,191.365247,1,0,23,0,136,460.0,100.0,False
17.079565,1181,194.710451,1,0,27,0,156,560.0,100.0,False
32.773251,1449,199.234016,1,0,34,0,190,690.0,100.0,False
2.580191,896,201.845832,1,0,20,0,113,400.0,100.0,False
28.795118,1328,205.635587,1,0,31,0,176,670.0,100.0,False
0.333472,889,208.341012,1,0,19,0,114,390.0,100.0,False
11.346334,1067,211.367528,1,0,24,0,141,480.0,100.0,False
14.959688,1100,214.584357,1,0,25,0,145,540.0,100.0,False
-2.856277,781,217.06395,1,0,16,0,102,380.0,100.0,False
9.025819,1030,220.049571,1,0,23,0,136,470.0,100.0,False
-8.150908,738,221.816773,1,0,15,0,94,310.0,100.0,False
