#{"t_start": 1789238532.502827, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-38.352069,208,0.830441,1,0,1,0,15,30.0,100.0,False
-39.860189,226,1.567161,1,0,0,0,18,20.0,100.0,False
-39.648874,222,2.109026,1,0,0,0,17,30.0,100.0,False
-40.505706,204,2.598675,1,0,0,0,15,0.0,100.0,False
-39.971411,220,3.636511,1,0,0,0,18,10.0,100.0,False
-39.898504,213,4.086286,1,0,0,0,20,10.0,100.0,False
-38.363903,218,4.540968,1,0,1,0,14,20.0,100.0,False
-35.038221,246,5.049084,1,0,2,0,18,70.0,100.0,False
-40.467592,246,5.645638,1,0,0,0,18,10.0,100.0,False
-37.998023,209,6.952518,1,0,1,0,14,30.0,100.0,False
-36.009863,258,7.520763,1,0,2,0,25,60.0,100.0,False
-38.030398,215,8.062892,1,0,1,0,13,30.0,100.0,False
-38.511095,286,8.792577,1,0,1,0,22,30.0,100.0,False
-40.522124,269,10.371338,1,0,0,0,23,10.0,100.0,False
-38.69647,280,11.090295,1,0,1,0,25,30.0,100.0,False
-39.901457,272,11.967644,1,0,0,0,23,30.0,100.0,False
-38.508196,274,12.643009,1,0,1,0,27,30.0,100.0,False
-40.559757,253,13.722788,1,0,0,0,21,10.0,100.0,False
-38.383969,252,14.294105,1,0,1,0,26,40.0,100.0,False
-36.735604,267,14.846446,1,0,2,0,22,40.0,100.0,False
-38.462801,284,15.963508,1,0,1,0,25,40.0,100.0,False
-40.666789,263,16.575606,1,0,0,0,22,10.0,100.0,False
-40.309379,307,17.225285,1,0,0,0,27,20.0,100.0,False
-38.30006,289,17.855328,1,0,1,0,22,50.0,100.0,False
-37.897254,327,19.195744,1,0,1,0,30,50.0,100.0,False
-38.294228,334,19.910464,1,0,1,0,36,50.0,100.0,False
-38.980632,321,20.614418,1,0,1,0,31,20.0,100.0,False
-38.657193,330,21.975086,1,0,1,0,27,40.0,100.0,False
-37.958379,312,22.697742,1,0,1,0,29,60.0,100.0,False
-38.133782,326,23.376691,1,0,1,0,32,40.0,100.0,False
-36.6442,328,24.617167,1,0,2,0,31,40.0,100.0,False
-36.052865,287,25.231932,1,0,2,0,27,50.0,100.0,False
-37.039017,344,25.983343,1,0,2,0,32,40.0,100.0,False
-37.59585,269,26.582047,1,0,1,0,25,50.0,100.0,False
-30.316327,408,28.109675,1,0,5,0,42,100.0,100.0,False
-36.625965,339,28.809213,1,0,2,0,35,50.0,100.0,False
-31.925812,385,30.155112,1,0,4,0,39,90.0,100.0,False
-31.628733,379,30.968268,1,0,4,0,39,100.0,100.0,False
-38.8342,336,31.752389,1,0,1,0,33,20.0,100.0,False
-33.985636,365,33.260748,1,0,3,0,39,80.0,100.0,False
-23.516028,468,34.472166,1,0,8,0,52,180.0,100.0,False
-34.163191,322,35.217849,1,0,3,0,32,80.0,100.0,False
-31.866988,387,37.714041,1,0,4,0,37,100.0,100.0,False
-33.443287,345,38.59,1,0,3,0,34,90.0,100.0,False
-37.353064,264,39.250994,1,0,1,0,27,50.0,100.0,False
