#{"t_start": 1789238574.4874258, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-38.352069,208,0.578455,1,0,1,0,15,30.0,100.0,False
-39.860189,226,1.020849,1,0,0,0,18,20.0,100.0,False
-39.648874,222,1.457173,1,0,0,0,17,30.0,100.0,False
-40.505706,204,1.835575,1,0,0,0,15,0.0,100.0,False
-38.275576,220,2.778466,1,0,1,0,18,20.0,100.0,False
-39.935027,210,3.197938,1,0,0,0,19,10.0,100.0,False
-40.187291,205,3.579273,1,0,0,0,14,10.0,100.0,False
-35.464882,268,4.075172,1,0,2,0,21,70.0,100.0,False
-40.540152,259,4.579794,1,0,0,0,19,10.0,100.0,False
-38.555247,231,5.654892,1,0,1,0,21,20.0,100.0,False
-40.096774,215,6.067278,1,0,0,0,20,20.0,100.0,False
-38.068855,219,6.479851,1,0,1,0,17,40.0,100.0,False
-40.091866,213,6.902736,1,0,0,0,14,20.0,100.0,False
-34.706459,309,8.10598,1,0,3,0,27,60.0,100.0,False
-38.746689,289,8.763657,1,0,1,0,24,30.0,100.0,False
-39.958129,216,9.252884,1,0,0,0,21,30.0,100.0,False
-40.797168,255,9.800191,1,0,0,0,24,0.0,100.0,False
-39.998919,234,10.964996,1,0,0,0,21,20.0,100.0,False
-38.230153,275,11.542323,1,0,1,0,22,40.0,100.0,False
-38.339049,227,11.971832,1,0,1,0,19,20.0,100.0,False
-40.312833,254,12.469303,1,0,0,0,22,20.0,100.0,False
-37.909936,226,13.471056,1,0,1,0,20,30.0,100.0,False
-40.713518,295,14.072532,1,0,0,0,23,20.0,100.0,False
-40.30573,253,14.586677,1,0,0,0,23,20.0,100.0,False
-38.862921,277,15.137021,1,0,1,0,20,30.0,100.0,False
-40.502448,278,16.381537,1,0,0,0,25,20.0,100.0,False
-40.793522,345,17.0908,1,0,0,0,33,20.0,100.0,False
-40.403424,281,17.669835,1,0,0,0,27,30.0,100.0,False
-36.950809,303,18.787007,1,0,2,0,25,50.0,100.0,False
-39.026768,324,19.507874,1,0,1,0,30,20.0,100.0,False
-40.62589,308,20.189076,1,0,0,0,27,20.0,100.0,False
-38.927801,339,20.961452,1,0,1,0,32,30.0,100.0,False
-40.438747,309,22.25365,1,0,0,0,24,20.0,100.0,False
-40.069998,300,22.877172,1,0,0,0,24,20.0,100.0,False
-40.895768,311,23.524635,1,0,0,0,29,10.0,100.0,False
-38.980061,339,24.740998,1,0,1,0,27,30.0,100.0,False
-40.647056,326,25.447851,1,0,0,0,28,10.0,100.0,False
-40.316563,308,26.186048,1,0,0,0,24,10.0,100.0,False
-36.768052,329,27.41502,1,0,2,0,29,50.0,100.0,False
-40.446741,307,28.075206,1,0,0,0,27,20.0,100.0,False
-41.039409,302,28.731705,1,0,0,0,27,0.0,100.0,False
-34.435811,335,30.02313,1,0,3,0,30,70.0,100.0,False
-38.559694,344,30.77608,1,0,1,0,32,40.0,100.0,False
-40.695278,297,31.462806,1,0,0,0,27,10.0,100.0,False
-40.737256,316,32.680413,1,0,0,0,24,10.0,100.0,False
-38.986733,322,34.261923,1,0,1,0,30,20.0,100.0,False
-30.200564,374,35.070398,1,0,5,0,32,110.0,100.0,False
