#{"t_start": 1789238612.447701, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-39.916141,214,0.429701,1,0,0,0,17,20.0,100.0,False
-36.017976,266,1.065407,1,0,2,0,22,60.0,100.0,False
-39.578816,248,1.61318,1,0,0,0,20,30.0,100.0,False
-40.525855,220,2.133391,1,0,0,0,22,0.0,100.0,False
-38.401007,229,3.456867,1,0,1,0,20,30.0,100.0,False
-39.956924,239,4.007137,1,0,0,0,23,20.0,100.0,False
-37.135404,274,4.536817,1,0,1,0,22,60.0,100.0,False
-37.780601,222,5.045649,1,0,1,0,20,40.0,100.0,False
-39.856209,222,6.153467,1,0,0,0,19,20.0,100.0,False
-39.88724,226,6.615211,1,0,0,0,19,20.0,100.0,False
-38.928937,211,7.017849,1,0,0,0,19,30.0,100.0,False
-38.234496,232,7.525691,1,0,1,0,20,30.0,100.0,False
-40.306729,200,7.908427,1,0,0,0,18,10.0,100.0,False
-36.153144,238,9.133704,1,0,2,0,24,60.0,100.0,False
-36.242202,227,9.570222,1,0,2,0,21,50.0,100.0,False
-38.461802,247,10.055817,1,0,1,0,23,20.0,100.0,False
-33.711828,268,10.588123,1,0,3,0,25,80.0,100.0,False
-40.135727,244,11.662073,1,0,0,0,22,20.0,100.0,False
-33.77989,271,12.161414,1,0,3,0,26,80.0,100.0,False
-34.230398,325,12.820921,1,0,3,0,27,60.0,100.0,False
-37.494028,257,13.3166,1,0,1,0,21,40.0,100.0,False
-39.854652,266,14.608462,1,0,0,0,24,10.0,100.0,False
-34.106298,247,15.081296,1,0,3,0,19,60.0,100.0,False
-40.131045,220,15.618908,1,0,0,0,18,10.0,100.0,False
-39.38992,199,16.015531,1,0,0,0,19,30.0,100.0,False
-40.021833,234,17.061491,1,0,0,0,18,10.0,100.0,False
-40.203235,219,17.498926,1,0,0,0,23,10.0,100.0,False
-35.751593,255,18.004864,1,0,2,0,25,60.0,100.0,False
-37.884385,197,18.396942,1,0,1,0,20,20.0,100.0,False
-34.376309,329,19.804258,1,0,3,0,32,70.0,100.0,False
-35.865626,279,20.366407,1,0,1,0,26,80.0,100.0,False
-36.382752,315,21.070735,1,0,2,0,30,50.0,100.0,False
-40.737572,253,21.6224,1,0,0,0,26,0.0,100.0,False
-35.705641,345,22.872075,1,0,2,0,35,70.0,100.0,False
-38.121698,289,23.457519,1,0,1,0,25,40.0,100.0,False
-38.450985,263,24.036795,1,0,1,0,24,30.0,100.0,False
-40.189917,250,25.22601,1,0,0,0,22,10.0,100.0,False
-38.867501,294,25.822229,1,0,1,0,30,20.0,100.0,False
-40.303215,241,26.340049,1,0,0,0,22,10.0,100.0,False
-38.443924,284,26.916891,1,0,1,0,30,40.0,100.0,False
-40.429655,243,28.03096,1,0,0,0,23,10.0,100.0,False
-38.770195,254,28.568709,1,0,0,0,24,50.0,100.0,False
-40.64402,244,29.119092,1,0,0,0,24,0.0,100.0,False
-40.360728,264,29.70495,1,0,0,0,26,20.0,100.0,False
-40.76837,269,30.926668,1,0,0,0,25,10.0,100.0,False
-40.656959,289,31.552624,1,0,0,0,28,20.0,100.0,False
-38.999584,279,32.169706,1,0,1,0,26,20.0,100.0,False
-37.521719,293,32.79706,1,0,1,0,30,60.0,100.0,False
-38.643801,283,34.046678,1,0,1,0,25,30.0,100.0,False
-40.241373,305,35.636921,1,0,0,0,32,20.0,100.0,False
-40.301054,315,36.337653,1,0,0,0,31,20.0,100.0,False
