#{"t_start": 1789237852.3333886, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-40.786,198,37.579586,1,0,0,0,26,0.0,100.0,False
-40.817,206,37.73025,1,0,0,0,27,0.0,100.0,False
-40.823,209,37.886935,1,0,0,0,27,0.0,100.0,False
-40.817,206,38.079719,1,0,0,0,27,0.0,100.0,False
-40.79,200,38.244038,1,0,0,0,26,0.0,100.0,False
-34.782568,274,70.475847,1,0,2,0,38,50.0,100.0,False
-34.773644,273,70.671047,1,0,2,0,37,50.0,100.0,False
-35.199998,253,70.848191,1,0,2,0,35,40.0,100.0,False
-32.60927,265,71.040106,1,0,3,0,36,60.0,100.0,False
-35.229327,263,71.215755,1,0,2,0,36,40.0,100.0,False
-27.817692,311,104.036404,1,0,1,1,7,70.0,100.0,False
-36.471741,276,104.229414,1,0,1,0,6,50.0,100.0,False
-26.540128,408,104.511358,1,0,2,1,44,90.0,100.0,False
-37.063012,285,104.698622,1,0,1,0,5,40.0,100.0,False
-27.412161,309,104.89112,1,0,1,1,8,70.0,100.0,False
-33.715922,284,135.958114,1,0,2,0,15,80.0,100.0,False
-28.121892,352,136.212502,1,0,1,1,46,70.0,100.0,False
-28.319356,378,136.482779,1,0,1,1,50,70.0,100.0,False
-28.714083,427,136.809634,1,0,1,1,50,70.0,100.0,False
-28.198133,366,137.065752,1,0,1,1,49,70.0,100.0,False
-12.75361,845,170.561914,1,0,9,1,117,240.0,100.0,False
-11.416379,856,171.213712,1,0,9,1,118,240.0,100.0,False
-21.401295,508,171.590547,1,0,4,1,69,130.0,100.0,False
-37.859735,257,171.757942,1,0,1,0,12,20.0,100.0,False
-24.873122,518,172.135619,1,0,3,1,70,120.0,100.0,False
17.762755,1727,205.086856,1,0,21,1,243,480.0,100.0,False
16.543163,1650,206.32653,1,0,20,1,232,460.0,100.0,False
20.927382,1811,207.669329,1,0,22,1,255,500.0,100.0,False
-0.32155,1153,208.532908,1,0,13,1,156,320.0,100.0,False
12.480642,1533,209.770334,1,0,18,1,215,420.0,100.0,False
