#{"t_start": 1789237852.329589, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-23.985977,379,7.167994,1,0,3,1,37,110.0,100.0,False
-40.89603,233,7.608012,1,0,0,0,23,0.0,100.0,False
-40.933985,226,8.07761,1,0,0,0,25,0.0,100.0,False
-41.14235,235,9.137402,1,0,0,0,25,0.0,100.0,False
-41.010734,242,9.681611,1,0,0,0,22,0.0,100.0,False
-40.948797,236,10.174312,1,0,0,0,22,0.0,100.0,False
-41.237391,262,10.679675,1,0,0,0,23,0.0,100.0,False
-41.16055,256,11.683281,1,0,0,0,22,0.0,100.0,False
-40.553596,230,12.135943,1,0,0,0,22,10.0,100.0,False
-40.92431,230,12.583906,1,0,0,0,19,0.0,100.0,False
-40.754119,232,13.054133,1,0,0,0,18,0.0,100.0,False
-41.040926,233,13.51462,1,0,0,0,23,0.0,100.0,False
-33.568066,311,14.614999,1,0,3,0,34,80.0,100.0,False
-41.024475,238,15.076858,1,0,0,0,23,0.0,100.0,False
-40.418934,211,15.477125,1,0,0,0,21,10.0,100.0,False
-35.164454,240,15.976819,1,0,2,0,27,60.0,100.0,False
-41.064756,245,16.951722,1,0,0,0,25,0.0,100.0,False
-41.006149,240,17.412782,1,0,0,0,23,0.0,100.0,False
-40.243831,207,17.827016,1,0,0,0,23,10.0,100.0,False
-40.777662,238,18.388533,1,0,0,0,24,0.0,100.0,False
-40.817855,217,19.314167,1,0,0,0,20,0.0,100.0,False
-40.932985,229,19.758132,1,0,0,0,18,0.0,100.0,False
-30.080978,295,20.343694,1,0,4,0,31,110.0,100.0,False
-40.961828,239,20.804731,1,0,0,0,20,0.0,100.0,False
-40.796075,227,21.249175,1,0,0,0,19,0.0,100.0,False
-41.065178,233,22.204927,1,0,0,0,18,0.0,100.0,False
-40.789563,225,22.6271,1,0,0,0,19,0.0,100.0,False
-40.798431,226,23.09909,1,0,0,0,20,0.0,100.0,False
-40.618089,218,23.534529,1,0,0,0,18,0.0,100.0,False
-32.69046,324,24.738179,1,0,4,0,37,80.0,100.0,False
-40.972174,249,25.228182,1,0,0,0,18,0.0,100.0,False
-40.559487,211,25.623362,1,0,0,0,15,0.0,100.0,False
