#{"t_start": 1789238419.3342185, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-40.660966,222,1.375087,1,0,0,0,20,0.0,100.0,False
-40.92341,241,1.815028,1,0,0,0,22,0.0,100.0,False
-36.729499,259,2.346153,1,0,2,0,27,40.0,100.0,False
-40.797201,224,2.801917,1,0,0,0,17,0.0,100.0,False
-40.639773,219,3.734014,1,0,0,0,20,0.0,100.0,False
-40.787187,237,4.188202,1,0,0,0,19,0.0,100.0,False
-41.005266,233,4.652328,1,0,0,0,21,0.0,100.0,False
-40.869017,218,5.048936,1,0,0,0,19,0.0,100.0,False
-40.744237,226,5.98744,1,0,0,0,18,0.0,100.0,False
-36.491347,279,6.486007,1,0,2,0,23,40.0,100.0,False
-40.712922,218,6.887487,1,0,0,0,22,0.0,100.0,False
-40.592649,201,7.30687,1,0,0,0,14,0.0,100.0,False
-34.009043,288,7.895487,1,0,3,0,28,60.0,100.0,False
-36.865336,281,8.982096,1,0,2,0,26,40.0,100.0,False
-38.836948,242,9.512611,1,0,1,0,21,20.0,100.0,False
-35.374763,266,10.046534,1,0,2,0,24,50.0,100.0,False
-38.381211,257,11.007962,1,0,1,0,21,20.0,100.0,False
-40.909361,225,11.437306,1,0,0,0,21,0.0,100.0,False
-40.64184,205,11.844821,1,0,0,0,20,0.0,100.0,False
-36.575035,284,12.400422,1,0,2,0,28,40.0,100.0,False
-38.642585,249,12.898107,1,0,1,0,22,20.0,100.0,False
-40.64692,217,13.831578,1,0,0,0,18,0.0,100.0,False
-38.482967,238,14.272211,1,0,1,0,20,20.0,100.0,False
-38.608997,247,14.756055,1,0,1,0,23,20.0,100.0,False
-36.20211,261,15.224483,1,0,2,0,25,40.0,100.0,False
-40.244006,219,16.108657,1,0,0,0,21,10.0,100.0,False
-37.573488,230,16.50718,1,0,1,0,26,40.0,100.0,False
-34.782023,252,16.967541,1,0,2,0,27,70.0,100.0,False
-38.006798,246,17.432399,1,0,1,0,26,30.0,100.0,False
-40.051584,204,18.397132,1,0,0,0,21,10.0,100.0,False
-38.42675,241,18.862255,1,0,1,0,25,20.0,100.0,False
-38.172857,216,19.248784,1,0,1,0,25,30.0,100.0,False
-34.242232,273,19.767444,1,0,3,0,30,60.0,100.0,False
-31.253016,302,20.804146,1,0,4,0,32,90.0,100.0,False
-32.551175,265,21.309079,1,0,3,0,29,80.0,100.0,False
-26.257107,309,21.848226,1,0,2,1,30,90.0,100.0,False
-31.983457,280,22.423995,1,0,4,0,29,80.0,100.0,False
-38.161945,233,23.548123,1,0,1,0,24,20.0,100.0,False
-38.654564,220,23.965368,1,0,1,0,20,20.0,100.0,False
-38.28569,234,24.389611,1,0,1,0,24,20.0,100.0,False
-36.156874,280,24.890644,1,0,2,0,30,40.0,100.0,False
-33.809012,264,25.882081,1,0,3,0,29,60.0,100.0,False
-34.716124,281,26.399747,1,0,2,0,26,70.0,100.0,False
-34.075338,283,26.954632,1,0,2,0,27,70.0,100.0,False
-32.767062,295,27.51944,1,0,3,0,30,80.0,100.0,False
-26.389417,352,28.765835,1,0,2,1,35,90.0,100.0,False
-32.346521,308,29.339067,1,0,3,0,31,90.0,100.0,False
-35.604195,268,29.845429,1,0,2,0,28,50.0,100.0,False
-38.615793,248,30.824961,1,0,1,0,27,20.0,100.0,False
-36.321011,248,32.534348,1,0,2,0,28,40.0,100.0,False
-33.383604,292,33.135786,1,0,3,0,29,70.0,100.0,False
-23.681549,310,33.716221,1,0,3,1,29,110.0,100.0,False
