#{"t_start": 1789238455.5382483, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-40.691034,226,0.506563,1,0,0,0,20,0.0,100.0,False
-40.820407,235,0.973305,1,0,0,0,18,0.0,100.0,False
-40.649173,221,1.379229,1,0,0,0,21,0.0,100.0,False
-40.732392,229,1.861566,1,0,0,0,23,0.0,100.0,False
-39.187108,259,2.890143,1,0,1,0,25,20.0,100.0,False
-40.551139,232,3.330837,1,0,0,0,19,0.0,100.0,False
-40.750061,228,3.7918,1,0,0,0,21,0.0,100.0,False
-40.0624,216,4.22979,1,0,0,0,20,10.0,100.0,False
-40.588334,228,5.14195,1,0,0,0,18,0.0,100.0,False
-36.980896,245,5.599859,1,0,1,0,23,50.0,100.0,False
-40.571762,221,5.990239,1,0,0,0,17,0.0,100.0,False
-40.965514,230,6.453232,1,0,0,0,20,0.0,100.0,False
-34.684887,284,7.001952,1,0,3,0,23,60.0,100.0,False
-40.840113,210,8.059732,1,0,0,0,19,0.0,100.0,False
-35.026327,259,8.61832,1,0,2,0,24,70.0,100.0,False
-36.271796,262,9.187903,1,0,2,0,23,50.0,100.0,False
-38.265543,226,9.665797,1,0,1,0,20,30.0,100.0,False
-38.441679,230,10.660073,1,0,1,0,20,20.0,100.0,False
-35.929684,270,11.25237,1,0,2,0,24,50.0,100.0,False
-36.802673,244,11.774168,1,0,1,0,20,50.0,100.0,False
-34.767722,261,12.382479,1,0,2,0,20,60.0,100.0,False
-40.916669,218,13.333686,1,0,0,0,19,0.0,100.0,False
-39.714824,218,13.759126,1,0,0,0,21,20.0,100.0,False
-33.409857,262,14.336593,1,0,3,0,26,80.0,100.0,False
-37.706023,234,14.801552,1,0,1,0,22,30.0,100.0,False
-35.992578,262,16.060881,1,0,2,0,23,50.0,100.0,False
-31.466459,291,16.658276,1,0,4,0,25,90.0,100.0,False
-32.111982,295,17.357324,1,0,4,0,28,80.0,100.0,False
-35.963635,278,18.031578,1,0,2,0,28,40.0,100.0,False
-32.777825,310,19.287741,1,0,3,0,28,80.0,100.0,False
-34.325836,254,19.803136,1,0,2,0,26,70.0,100.0,False
-35.313201,271,20.374802,1,0,2,0,28,50.0,100.0,False
-32.952432,290,21.564899,1,0,3,0,29,80.0,100.0,False
-32.024719,299,22.180998,1,0,3,0,31,90.0,100.0,False
-23.450177,299,22.855403,1,0,3,1,31,110.0,100.0,False
-32.836961,281,23.434597,1,0,3,0,24,80.0,100.0,False
-29.945103,290,24.649787,1,0,4,0,25,110.0,100.0,False
-21.054585,311,25.226546,1,0,4,1,29,130.0,100.0,False
-31.971283,293,25.810319,1,0,3,0,29,100.0,100.0,False
-23.10646,292,26.921375,1,0,3,1,31,110.0,100.0,False
-37.515876,235,27.354797,1,0,1,0,21,40.0,100.0,False
-32.807583,297,27.992918,1,0,3,0,29,80.0,100.0,False
-30.44246,296,28.564224,1,0,4,0,27,100.0,100.0,False
-33.83483,272,29.601051,1,0,3,0,26,60.0,100.0,False
-30.388717,278,30.133279,1,0,4,0,26,100.0,100.0,False
-31.165437,288,30.660031,1,0,3,0,27,110.0,100.0,False
-33.915292,299,31.224952,1,0,3,0,28,60.0,100.0,False
-23.277102,305,33.330534,1,0,3,1,30,110.0,100.0,False
-23.257665,298,33.864908,1,0,3,1,31,110.0,100.0,False
-32.267255,304,34.40367,1,0,3,0,31,80.0,100.0,False
