#{"t_start": 1789238492.3018951, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-40.85801,226,0.504494,1,0,0,0,19,0.0,100.0,False
-32.75737,270,1.093833,1,0,3,0,24,90.0,100.0,False
-41.118788,254,1.633056,1,0,0,0,21,0.0,100.0,False
-40.707851,219,2.042374,1,0,0,0,20,0.0,100.0,False
-40.923731,232,3.091238,1,0,0,0,25,0.0,100.0,False
-40.797317,224,3.526917,1,0,0,0,23,0.0,100.0,False
-41.041542,238,4.001877,1,0,0,0,23,0.0,100.0,False
-40.844448,233,4.459485,1,0,0,0,20,0.0,100.0,False
-41.093412,248,5.547569,1,0,0,0,25,0.0,100.0,False
-40.643625,235,6.119459,1,0,0,0,23,0.0,100.0,False
-40.92599,217,6.587062,1,0,0,0,21,0.0,100.0,False
-41.008203,229,7.043855,1,0,0,0,22,0.0,100.0,False
-41.10622,231,7.487679,1,0,0,0,26,0.0,100.0,False
-34.372627,267,8.583544,1,0,3,0,25,60.0,100.0,False
-40.987368,239,9.051104,1,0,0,0,23,0.0,100.0,False
-40.978762,237,9.501881,1,0,0,0,23,0.0,100.0,False
-40.668135,230,9.968366,1,0,0,0,20,0.0,100.0,False
-40.460667,218,10.966691,1,0,0,0,20,0.0,100.0,False
-36.632362,246,11.490259,1,0,2,0,23,40.0,100.0,False
-31.812003,275,12.035233,1,0,3,0,25,100.0,100.0,False
-21.671379,300,12.571711,1,0,4,1,29,130.0,100.0,False
-40.765031,240,13.575192,1,0,0,0,24,0.0,100.0,False
-36.511338,247,14.061026,1,0,1,0,22,50.0,100.0,False
-40.737437,215,14.478705,1,0,0,0,20,0.0,100.0,False
-33.761952,277,14.999543,1,0,3,0,26,70.0,100.0,False
-23.169103,288,16.304016,1,0,3,1,28,110.0,100.0,False
-35.634039,282,16.882591,1,0,2,0,28,50.0,100.0,False
-40.392444,229,17.329449,1,0,0,0,23,10.0,100.0,False
-35.120228,272,17.859688,1,0,2,0,28,60.0,100.0,False
-33.145705,276,18.966619,1,0,3,0,29,80.0,100.0,False
-38.564741,248,19.463632,1,0,1,0,23,20.0,100.0,False
-40.785129,223,19.921398,1,0,0,0,26,0.0,100.0,False
-36.45953,269,20.452945,1,0,2,0,25,50.0,100.0,False
-36.400358,262,21.64918,1,0,2,0,26,40.0,100.0,False
-21.121109,289,22.234431,1,0,4,1,28,130.0,100.0,False
-21.075011,306,22.797287,1,0,4,1,31,130.0,100.0,False
-34.164549,237,23.841707,1,0,3,0,21,60.0,100.0,False
-38.722729,226,24.242666,1,0,1,0,23,20.0,100.0,False
-23.449549,308,24.815268,1,0,3,1,33,110.0,100.0,False
-23.367466,311,25.384469,1,0,3,1,33,110.0,100.0,False
-23.635136,349,26.682709,1,0,3,1,39,110.0,100.0,False
-34.174989,260,27.262613,1,0,3,0,26,70.0,100.0,False
-38.623864,241,27.702387,1,0,1,0,25,20.0,100.0,False
-29.961492,293,28.24535,1,0,4,0,32,120.0,100.0,False
-34.121595,251,29.364132,1,0,3,0,29,60.0,100.0,False
-35.785916,253,29.93379,1,0,2,0,28,50.0,100.0,False
-35.36504,249,30.533587,1,0,2,0,27,60.0,100.0,False
-38.702631,228,31.002971,1,0,1,0,25,20.0,100.0,False
-38.019233,238,32.2299,1,0,1,0,22,20.0,100.0,False
-40.588985,194,33.473009,1,0,0,0,20,0.0,100.0,False
-30.312492,325,34.116526,1,0,4,0,33,110.0,100.0,False
-30.209953,312,34.996619,1,0,4,0,33,110.0,100.0,False
