episode,return,steps,epsilon,died
1,0.0,86,1.0,1
2,0.0,43,0.9986428571428572,1
3,0.0,135,0.9972857142857143,1
4,0.0,46,0.9959285714285714,1
5,0.0,42,0.9945714285714286,1
6,0.0,137,0.9932142857142857,1
7,0.0,27,0.9918571428571429,1
8,0.0,65,0.9905,1
9,0.0,12,0.9891428571428571,1
10,0.0,153,0.9877857142857143,1
11,0.0,133,0.9864285714285714,1
12,0.0,131,0.9850714285714286,1
13,0.0,53,0.9837142857142858,1
14,0.0,182,0.9823571428571428,1
15,0.0,32,0.981,1
16,0.0,28,0.9796428571428571,1
17,0.0,33,0.9782857142857143,1
18,0.0,33,0.9769285714285715,1
19,0.0,39,0.9755714285714285,1
20,0.0,78,0.9742142857142857,1
21,0.0,193,0.9728571428571429,1
22,0.0,8,0.9715,1
23,0.0,49,0.9701428571428572,1
24,0.0,15,0.9687857142857143,1
25,0.0,39,0.9674285714285714,1
26,0.0,20,0.9660714285714286,1
27,0.0,40,0.9647142857142857,1
28,0.0,100,0.9633571428571429,1
29,0.0,50,0.962,1
30,0.0,221,0.9606428571428571,1
31,1.0,176,0.9592857142857143,0
32,0.0,45,0.9579285714285715,1
33,0.0,30,0.9565714285714286,1
34,0.0,165,0.9552142857142857,1
35,0.0,295,0.9538571428571428,1
36,0.0,103,0.9525,1
37,0.0,83,0.9511428571428572,1
38,0.0,245,0.9497857142857142,1
39,0.0,72,0.9484285714285714,1
40,0.0,47,0.9470714285714286,1
41,0.0,12,0.9457142857142857,1
42,0.0,16,0.9443571428571429,1
43,0.0,9,0.9430000000000001,1
44,0.0,41,0.9416428571428571,1
45,0.0,155,0.9402857142857143,1
46,0.0,11,0.9389285714285714,1
47,0.0,52,0.9375714285714286,1
48,0.0,130,0.9362142857142857,1
49,0.0,252,0.9348571428571428,1
50,0.0,94,0.9335,1
51,0.0,48,0.9321428571428572,1
52,0.0,211,0.9307857142857143,1
53,1.0,52,0.9294285714285714,0
54,0.0,190,0.9280714285714285,1
55,0.0,173,0.9267142857142857,1
56,0.0,42,0.9253571428571429,1
57,0.0,295,0.924,1
58,0.0,48,0.9226428571428571,1
59,0.0,71,0.9212857142857143,1
60,0.0,18,0.9199285714285714,1
61,0.0,42,0.9185714285714286,1
62,0.0,169,0.9172142857142858,1
63,0.0,76,0.9158571428571429,1
64,0.0,60,0.9145,1
65,0.0,44,0.9131428571428571,1
66,0.0,10,0.9117857142857143,1
67,0.0,22,0.9104285714285714,1
68,0.0,53,0.9090714285714285,1
69,0.0,119,0.9077142857142857,1
70,0.0,40,0.9063571428571429,1
71,1.0,84,0.905,0
72,0.0,6,0.9036428571428572,1
73,0.0,40,0.9022857142857142,1
74,1.0,39,0.9009285714285714,0
75,0.0,16,0.8995714285714286,1
76,1.0,85,0.8982142857142857,0
77,1.0,187,0.8968571428571429,0
78,0.0,69,0.8955,1
79,0.0,79,0.8941428571428571,1
80,0.0,189,0.8927857142857143,1
81,0.0,38,0.8914285714285715,1
82,0.0,204,0.8900714285714286,1
83,0.0,97,0.8887142857142857,1
84,1.0,119,0.8873571428571428,0
85,0.0,86,0.886,1
86,0.0,13,0.8846428571428572,1
87,0.0,150,0.8832857142857142,1
88,0.0,129,0.8819285714285714,1
89,0.0,31,0.8805714285714286,1
90,0.0,39,0.8792142857142857,1
91,0.0,79,0.8778571428571429,1
92,0.0,126,0.8765000000000001,1
93,0.0,61,0.8751428571428571,1
94,0.0,44,0.8737857142857143,1
95,1.0,191,0.8724285714285714,0
96,0.0,238,0.8710714285714286,1
97,0.0,265,0.8697142857142857,1
98,1.0,143,0.8683571428571428,0
99,1.0,66,0.867,0
100,0.0,132,0.8656428571428572,1
101,1.0,138,0.8642857142857143,0
102,0.0,16,0.8629285714285715,1
103,1.0,111,0.8615714285714285,0
104,0.0,164,0.8602142857142857,1
105,0.0,58,0.8588571428571429,1
106,0.0,119,0.8575,1
107,0.0,8,0.8561428571428571,1
108,0.0,25,0.8547857142857143,1
109,0.0,81,0.8534285714285714,1
110,0.0,37,0.8520714285714286,1
111,0.0,113,0.8507142857142858,1
112,1.0,119,0.8493571428571429,0
113,1.0,68,0.848,0
114,0.0,19,0.8466428571428571,1
115,0.0,61,0.8452857142857143,1
116,1.0,189,0.8439285714285715,0
117,1.0,66,0.8425714285714285,0
118,1.0,201,0.8412142857142857,0
119,0.0,165,0.8398571428571429,1
120,1.0,40,0.8385,0
121,0.0,101,0.8371428571428572,1
122,0.0,51,0.8357857142857144,1
123,1.0,121,0.8344285714285714,0
124,0.0,24,0.8330714285714286,1
125,1.0,127,0.8317142857142857,0
126,0.0,27,0.8303571428571428,1
127,0.0,50,0.829,1
128,0.0,58,0.8276428571428571,1
129,0.0,89,0.8262857142857143,1
130,1.0,65,0.8249285714285715,0
131,0.0,102,0.8235714285714286,1
132,0.0,69,0.8222142857142858,1
133,0.0,54,0.8208571428571428,1
134,0.0,59,0.8195,1
135,1.0,71,0.8181428571428572,0
136,0.0,75,0.8167857142857142,1
137,0.0,135,0.8154285714285714,1
138,0.0,74,0.8140714285714286,1
139,0.0,96,0.8127142857142857,1
140,1.0,97,0.8113571428571429,0
141,0.0,65,0.81,1
142,0.0,36,0.8086428571428572,1
143,0.0,36,0.8072857142857143,1
144,0.0,76,0.8059285714285714,1
145,0.0,73,0.8045714285714286,1
146,0.0,13,0.8032142857142857,1
147,0.0,47,0.8018571428571428,1
148,0.0,34,0.8005,1
149,0.0,10,0.7991428571428572,1
150,0.0,13,0.7977857142857143,1
151,0.0,33,0.7964285714285715,1
152,1.0,83,0.7950714285714285,0
153,0.0,101,0.7937142857142857,1
154,0.0,16,0.7923571428571429,1
155,0.0,15,0.791,1
156,1.0,54,0.7896428571428572,0
157,0.0,26,0.7882857142857143,1
158,1.0,67,0.7869285714285714,0
159,0.0,52,0.7855714285714286,1
160,0.0,31,0.7842142857142858,1
161,0.0,25,0.7828571428571429,1
162,0.0,58,0.7815,1
163,0.0,125,0.7801428571428571,1
164,0.0,12,0.7787857142857143,1
165,1.0,71,0.7774285714285715,0
166,0.0,30,0.7760714285714285,1
167,0.0,18,0.7747142857142857,1
168,1.0,86,0.7733571428571429,0
169,1.0,115,0.772,0
170,0.0,36,0.7706428571428572,1
171,0.0,55,0.7692857142857144,1
172,0.0,62,0.7679285714285715,1
173,0.0,58,0.7665714285714286,1
174,1.0,82,0.7652142857142857,0
175,0.0,27,0.7638571428571428,1
176,1.0,54,0.7625,0
177,1.0,64,0.7611428571428571,0
178,0.0,30,0.7597857142857143,1
179,0.0,12,0.7584285714285715,1
180,0.0,24,0.7570714285714286,1
181,0.0,51,0.7557142857142858,1
182,0.0,44,0.7543571428571428,1
183,0.0,50,0.753,1
184,1.0,72,0.7516428571428572,0
185,0.0,21,0.7502857142857143,1
186,1.0,65,0.7489285714285714,0
187,0.0,95,0.7475714285714286,1
188,0.0,114,0.7462142857142857,1
189,0.0,20,0.7448571428571429,1
190,1.0,48,0.7435,0
191,0.0,32,0.7421428571428572,1
192,0.0,14,0.7407857142857144,1
193,0.0,56,0.7394285714285714,1
194,1.0,47,0.7380714285714286,0
195,1.0,85,0.7367142857142857,0
196,1.0,62,0.7353571428571428,0
197,1.0,109,0.734,0
198,1.0,88,0.7326428571428572,0
199,1.0,46,0.7312857142857143,0
200,0.0,85,0.7299285714285715,1
201,0.0,40,0.7285714285714286,1
202,0.0,50,0.7272142857142857,1
203,0.0,53,0.7258571428571429,1
204,0.0,46,0.7245,1
205,0.0,42,0.7231428571428571,1
206,0.0,18,0.7217857142857143,1
207,1.0,86,0.7204285714285714,0
208,0.0,29,0.7190714285714286,1
209,0.0,36,0.7177142857142857,1
210,0.0,33,0.7163571428571429,1
211,0.0,54,0.7150000000000001,1
212,1.0,83,0.7136428571428571,0
213,1.0,63,0.7122857142857143,0
214,0.0,25,0.7109285714285715,1
215,0.0,20,0.7095714285714285,1
216,0.0,50,0.7082142857142857,1
217,0.0,39,0.7068571428571429,1
218,1.0,44,0.7055,0
219,0.0,45,0.7041428571428572,1
220,0.0,24,0.7027857142857143,1
221,0.0,36,0.7014285714285715,1
222,0.0,16,0.7000714285714286,1
223,0.0,29,0.6987142857142857,1
224,1.0,92,0.6973571428571429,0
225,0.0,60,0.696,1
226,0.0,42,0.6946428571428571,1
227,1.0,52,0.6932857142857143,0
228,1.0,27,0.6919285714285714,0
229,0.0,22,0.6905714285714286,1
230,1.0,31,0.6892142857142858,0
231,0.0,18,0.687857142857143,1
232,1.0,44,0.6865,0
233,0.0,46,0.6851428571428572,1
