episode,environment_return,learning_return,intrinsic_return,steps,epsilon,success,died,truncated,monster_moves
1,0.0,1.5724805801146469,1.5724805801146469,500,1.0,0,0,1,0
2,0.0,1.9325612076018395,1.9325612076018395,500,0.999905,0,0,1,0
3,0.0,1.5609683671592376,1.5609683671592376,500,0.99981,0,0,1,0
4,0.0,1.2699259511073557,1.2699259511073557,500,0.999715,0,0,1,0
5,0.0,1.2589027974958316,1.2589027974958316,500,0.99962,0,0,1,0
6,0.0,1.9259260279011465,1.9259260279011465,500,0.999525,0,0,1,0
7,0.0,1.8302677626084651,1.8302677626084651,500,0.99943,0,0,1,0
8,0.0,1.1624013947163037,1.1624013947163037,500,0.999335,0,0,1,0
9,0.0,1.5716845897178517,1.5716845897178517,500,0.99924,0,0,1,0
10,0.0,1.8405140095886336,1.8405140095886336,500,0.999145,0,0,1,0
11,0.0,1.165963012862132,1.165963012862132,500,0.99905,0,0,1,0
12,0.0,1.1044485500510632,1.1044485500510632,500,0.998955,0,0,1,0
13,0.0,1.6628085766523701,1.6628085766523701,500,0.99886,0,0,1,0
14,0.0,1.4744686216734426,1.4744686216734426,500,0.998765,0,0,1,0
15,0.0,1.7048296967873822,1.7048296967873822,500,0.99867,0,0,1,0
16,0.0,1.4263191354528884,1.4263191354528884,500,0.998575,0,0,1,0
17,0.0,1.464312379632673,1.464312379632673,500,0.99848,0,0,1,0
18,0.0,1.6175466711945368,1.6175466711945368,500,0.998385,0,0,1,0
19,0.0,1.3493659114244034,1.3493659114244034,500,0.99829,0,0,1,0
20,0.0,2.0602476914119863,2.0602476914119863,500,0.998195,0,0,1,0
21,0.0,1.5283100314360485,1.5283100314360485,500,0.9981,0,0,1,0
22,0.0,1.7539929395733238,1.7539929395733238,500,0.998005,0,0,1,0
23,0.0,1.8191052876576375,1.8191052876576375,500,0.99791,0,0,1,0
24,0.0,1.365203864792819,1.365203864792819,500,0.997815,0,0,1,0
25,0.0,1.3421316421714178,1.3421316421714178,500,0.99772,0,0,1,0
26,0.0,1.3707178962286235,1.3707178962286235,500,0.997625,0,0,1,0
27,0.0,1.6592678025510286,1.6592678025510286,500,0.99753,0,0,1,0
28,0.0,2.05432999298166,2.05432999298166,500,0.997435,0,0,1,0
29,0.0,1.1652742451900029,1.1652742451900029,500,0.99734,0,0,1,0
30,0.0,1.284638024424766,1.284638024424766,500,0.997245,0,0,1,0
31,0.0,1.242740031302289,1.242740031302289,500,0.99715,0,0,1,0
32,0.0,1.2165657759437278,1.2165657759437278,500,0.997055,0,0,1,0
33,0.0,1.0567676716239305,1.0567676716239305,500,0.99696,0,0,1,0
34,0.0,1.666846520270036,1.666846520270036,500,0.996865,0,0,1,0
35,0.0,1.7515431992001638,1.7515431992001638,500,0.99677,0,0,1,0
36,0.0,1.5794735243186382,1.5794735243186382,500,0.996675,0,0,1,0
37,0.0,1.2135131836352226,1.2135131836352226,500,0.99658,0,0,1,0
38,0.0,1.4346296459795125,1.4346296459795125,500,0.996485,0,0,1,0
39,0.0,1.5764974715061337,1.5764974715061337,500,0.99639,0,0,1,0
40,0.0,1.7148492037130774,1.7148492037130774,500,0.996295,0,0,1,0
41,0.0,1.903532942740692,1.903532942740692,500,0.9962,0,0,1,0
42,0.0,1.234551953106078,1.234551953106078,500,0.996105,0,0,1,0
43,0.0,1.6460502123642329,1.6460502123642329,500,0.99601,0,0,1,0
44,0.0,1.6314110600334006,1.6314110600334006,500,0.995915,0,0,1,0
45,0.0,1.4405435189910913,1.4405435189910913,500,0.99582,0,0,1,0
46,0.0,1.1807468230913434,1.1807468230913434,500,0.995725,0,0,1,0
47,0.0,1.5393285004854842,1.5393285004854842,500,0.99563,0,0,1,0
48,0.0,1.4206662471424398,1.4206662471424398,500,0.995535,0,0,1,0
49,0.0,2.059730742948501,2.059730742948501,500,0.99544,0,0,1,0
50,0.0,1.8926882124004725,1.8926882124004725,500,0.995345,0,0,1,0
51,0.0,1.1473012779360157,1.1473012779360157,500,0.99525,0,0,1,0
52,0.0,1.8805617089686002,1.8805617089686002,500,0.995155,0,0,1,0
53,0.0,1.0506174637160364,1.0506174637160364,500,0.9950600000000001,0,0,1,0
54,0.0,1.3734134898278976,1.3734134898278976,500,0.994965,0,0,1,0
55,0.0,1.9082325310923143,1.9082325310923143,500,0.99487,0,0,1,0
56,0.0,1.800533055218532,1.800533055218532,500,0.994775,0,0,1,0
