episode,environment_return,steps,success,died,truncated,monster_moves
1,2.0,15,1,0,0,7
2,2.0,15,1,0,0,8
3,2.0,16,1,0,0,9
4,2.0,15,1,0,0,5
5,2.0,15,1,0,0,9
6,2.0,15,1,0,0,5
7,2.0,15,1,0,0,7
8,2.0,15,1,0,0,5
9,2.0,15,1,0,0,8
10,2.0,15,1,0,0,7
11,2.0,15,1,0,0,4
12,2.0,15,1,0,0,3
13,2.0,15,1,0,0,6
14,2.0,15,1,0,0,5
15,2.0,15,1,0,0,3
16,2.0,15,1,0,0,4
17,2.0,15,1,0,0,6
18,2.0,15,1,0,0,9
19,2.0,15,1,0,0,5
20,2.0,15,1,0,0,3
21,2.0,15,1,0,0,5
22,2.0,15,1,0,0,6
23,2.0,15,1,0,0,7
24,2.0,15,1,0,0,7
25,2.0,15,1,0,0,4
26,2.0,15,1,0,0,5
27,2.0,15,1,0,0,6
28,2.0,15,1,0,0,6
29,2.0,15,1,0,0,6
30,2.0,15,1,0,0,4
