episode,environment_return,steps,success,died,truncated,monster_moves
1,5.0,70,1,0,0,55
2,5.0,91,1,0,0,84
3,5.0,44,1,0,0,27
4,4.0,68,0,1,0,49
5,5.0,35,1,0,0,25
6,5.0,39,1,0,0,24
7,5.0,27,1,0,0,22
8,5.0,32,1,0,0,25
9,5.0,33,1,0,0,25
10,1.0,350,0,0,1,286
11,0.0,6,0,1,0,4
12,5.0,21,1,0,0,14
13,5.0,29,1,0,0,14
14,1.0,125,0,1,0,98
15,5.0,27,1,0,0,21
16,3.0,125,0,1,0,104
17,5.0,64,1,0,0,53
18,1.0,54,0,1,0,42
19,5.0,29,1,0,0,21
20,5.0,27,1,0,0,17
21,5.0,29,1,0,0,22
22,5.0,51,1,0,0,40
23,5.0,65,1,0,0,47
24,5.0,23,1,0,0,21
25,5.0,29,1,0,0,22
26,5.0,28,1,0,0,17
27,5.0,35,1,0,0,28
28,5.0,34,1,0,0,29
29,2.0,76,0,1,0,62
30,5.0,43,1,0,0,33
