#{"t_start": 1789176426.8834975, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-41.218626,408,59.452239,1,0,0,0,7,0.0,100.0,False
-36.882072,376,59.923755,1,0,2,0,14,40.0,100.0,False
-40.104363,205,60.142286,1,0,0,0,5,0.0,100.0,False
-39.775295,193,60.344303,1,0,0,0,3,10.0,100.0,False
-38.834491,393,60.760384,1,0,1,0,9,30.0,100.0,False
-31.899219,392,90.257176,1,0,3,0,47,100.0,100.0,False
-26.856814,422,90.4908,1,0,6,0,52,150.0,100.0,False
-28.297335,448,90.747992,1,0,5,0,58,120.0,100.0,False
-31.697555,322,90.92011,1,0,3,0,39,120.0,100.0,False
-30.879373,320,91.095583,1,0,4,0,36,120.0,100.0,False
12.62987,1031,133.985822,1,0,24,0,130,520.0,100.0,False
5.669543,933,134.688065,1,0,20,0,119,460.0,100.0,False
18.075854,1166,135.596779,1,0,26,0,151,550.0,100.0,False
-23.536789,427,135.907745,1,0,7,0,51,180.0,100.0,False
22.618629,1206,136.739996,1,0,28,0,160,600.0,100.0,False
10.91415,1040,173.661268,1,0,23,0,124,510.0,100.0,False
-25.172038,474,173.982013,1,0,7,0,57,160.0,100.0,False
-1.863191,823,174.562394,1,0,17,0,95,390.0,100.0,False
-13.970625,653,175.057478,1,0,12,0,85,250.0,100.0,False
2.924894,963,175.723514,1,0,15,1,86,380.0,100.0,False
29.176504,769,214.60242,2,1,13,2,84,370.0,100.0,True
8.088524,857,215.187781,1,0,17,1,85,430.0,100.0,False
2.282961,1132,215.906662,1,0,15,1,148,370.0,100.0,False
-3.92223,796,216.438324,1,0,17,0,90,350.0,100.0,False
38.425658,849,216.972208,2,1,17,2,91,490.0,100.0,True
18.961149,1114,254.1952,1,0,26,0,129,590.0,100.0,False
14.560035,1114,254.971249,1,0,25,0,130,530.0,100.0,False
-4.508217,817,255.755328,1,0,16,0,88,350.0,100.0,False
10.655377,893,256.363984,1,0,18,1,97,460.0,100.0,False
-20.513462,517,256.684259,1,0,4,1,36,160.0,100.0,False
