#{"t_start": 1789300637.549753, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-39.799327,280,1.556164,1,0,2,0,21,50.0,100.0,False
-39.272659,211,1.958999,1,0,1,0,20,30.0,100.0,False
-41.018765,237,2.429099,1,0,0,0,19,20.0,100.0,False
-41.663991,239,2.993546,1,0,0,0,21,10.0,100.0,False
-38.107241,284,3.80663,1,0,3,0,23,80.0,100.0,False
-38.904478,243,4.475166,1,0,2,0,22,50.0,100.0,False
-40.37578,220,4.978597,1,0,0,0,19,20.0,100.0,False
-40.092309,242,5.519895,1,0,1,0,20,30.0,100.0,False
-40.133172,254,8.867343,1,0,0,0,22,20.0,100.0,False
-41.161793,203,9.333956,1,0,0,0,14,0.0,100.0,False
-38.756019,261,9.957103,1,0,1,0,18,50.0,100.0,False
-40.418967,287,10.663829,1,0,3,0,26,70.0,100.0,False
-40.819639,224,11.215583,1,0,0,0,19,10.0,100.0,False
-40.088384,222,11.654064,1,0,0,0,18,10.0,100.0,False
-39.277595,222,12.064232,1,0,2,0,20,40.0,100.0,False
-39.576839,203,12.50903,1,0,1,0,20,30.0,100.0,False
-40.971477,199,12.916074,1,0,0,0,18,10.0,100.0,False
-38.505839,195,15.295417,1,0,0,0,20,20.0,100.0,False
-41.123468,211,15.850513,1,0,0,0,13,10.0,100.0,False
-40.3298,276,16.469118,1,0,1,0,26,30.0,100.0,False
-39.869195,195,16.884953,1,0,0,0,16,20.0,100.0,False
-39.51568,321,17.556117,1,0,3,0,28,60.0,100.0,False
-41.82175,254,18.282051,1,0,1,0,22,20.0,100.0,False
-38.370128,281,18.870774,1,0,3,0,23,80.0,100.0,False
-40.883217,227,19.287987,1,0,1,0,17,20.0,100.0,False
-38.898248,253,21.706568,1,0,2,0,22,60.0,100.0,False
-40.637766,274,22.474533,1,0,1,0,30,30.0,100.0,False
-40.829816,265,23.17551,1,0,1,0,21,40.0,100.0,False
-39.573414,281,23.718393,1,0,2,0,26,50.0,100.0,False
-40.855389,279,24.304997,1,0,1,0,29,30.0,100.0,False
-40.779731,244,24.920762,1,0,1,0,22,30.0,100.0,False
-39.377978,274,25.452429,1,0,2,0,29,50.0,100.0,False
-40.368817,270,25.979663,1,0,1,0,24,30.0,100.0,False
-40.555833,268,28.498039,1,0,1,0,25,30.0,100.0,False
-39.339401,270,29.179422,1,0,2,0,26,40.0,100.0,False
-39.355872,296,29.785286,1,0,1,0,29,50.0,100.0,False
-41.427608,268,30.386809,1,0,1,0,28,30.0,100.0,False
-40.949423,302,31.220107,1,0,2,0,27,40.0,100.0,False
-39.643765,315,31.898728,1,0,3,0,29,70.0,100.0,False
-40.966931,282,32.507108,1,0,1,0,28,20.0,100.0,False
-39.553781,306,35.156792,1,0,2,0,31,60.0,100.0,False
-39.879518,279,35.911951,1,0,1,0,28,50.0,100.0,False
-42.155133,281,36.506418,1,0,1,0,27,30.0,100.0,False
-41.368779,256,37.09635,1,0,0,0,24,30.0,100.0,False
-38.834706,304,37.894125,1,0,3,0,30,60.0,100.0,False
