#{"t_start": 1789297518.7899516, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-36.257499,261,0.625339,1,0,2,0,19,60.0,100.0,False
-39.758655,228,1.178432,1,0,0,0,22,40.0,100.0,False
-40.738996,223,1.629007,1,0,0,0,20,0.0,100.0,False
-38.364413,231,2.049284,1,0,1,0,18,20.0,100.0,False
-38.320571,229,3.387947,1,0,1,0,21,40.0,100.0,False
-38.09918,230,3.870392,1,0,1,0,19,40.0,100.0,False
-37.88573,236,4.323914,1,0,1,0,19,30.0,100.0,False
-36.858468,231,4.853726,1,0,2,0,25,40.0,100.0,False
-36.058161,254,6.184853,1,0,2,0,21,60.0,100.0,False
-40.740879,265,6.81249,1,0,0,0,19,10.0,100.0,False
-35.821557,265,7.490985,1,0,2,0,22,60.0,100.0,False
-34.449912,270,8.230142,1,0,3,0,19,70.0,100.0,False
-36.937517,250,9.446281,1,0,1,0,16,50.0,100.0,False
-36.72786,237,9.882619,1,0,1,0,19,60.0,100.0,False
-36.624448,320,10.625074,1,0,2,0,22,60.0,100.0,False
-39.107886,217,11.149004,1,0,0,0,16,30.0,100.0,False
-40.022843,253,12.334121,1,0,0,0,21,20.0,100.0,False
-38.645939,284,12.853984,1,0,1,0,21,20.0,100.0,False
-38.3427,269,13.446079,1,0,1,0,24,30.0,100.0,False
-36.344254,335,14.520761,1,0,2,0,27,60.0,100.0,False
-38.141198,315,16.019567,1,0,1,0,28,40.0,100.0,False
-40.496747,247,16.77499,1,0,0,0,16,0.0,100.0,False
-38.72822,287,17.631891,1,0,1,0,19,30.0,100.0,False
-37.795141,254,18.884279,1,0,0,0,18,60.0,100.0,False
-35.051747,337,19.55479,1,0,2,0,29,70.0,100.0,False
-37.538837,273,20.193163,1,0,1,0,24,40.0,100.0,False
-38.564652,310,21.026622,1,0,1,0,25,30.0,100.0,False
-35.206962,348,22.427974,1,0,2,0,31,60.0,100.0,False
-39.981572,216,22.816879,1,0,0,0,23,10.0,100.0,False
-32.385408,363,23.781928,1,0,4,0,33,100.0,100.0,False
-38.158151,263,24.971744,1,0,1,0,23,30.0,100.0,False
-38.286563,243,25.459506,1,0,1,0,21,30.0,100.0,False
-37.640544,254,26.113605,1,0,1,0,19,30.0,100.0,False
-36.294744,333,26.976384,1,0,2,0,25,40.0,100.0,False
-34.212963,339,28.466215,1,0,3,0,30,70.0,100.0,False
-27.746093,327,29.114185,1,0,1,1,27,80.0,100.0,False
-37.908646,215,29.765009,1,0,0,0,19,40.0,100.0,False
-34.702987,356,31.239819,1,0,2,0,33,90.0,100.0,False
-37.714253,290,31.838122,1,0,1,0,25,40.0,100.0,False
-38.461573,224,32.430671,1,0,0,0,24,50.0,100.0,False
-33.786106,293,33.336339,1,0,3,0,27,80.0,100.0,False
-36.269723,330,34.731653,1,0,2,0,32,50.0,100.0,False
-36.025399,305,35.438096,1,0,2,0,28,60.0,100.0,False
-34.611639,302,36.230402,1,0,3,0,29,70.0,100.0,False
-33.442749,387,37.887272,1,0,3,0,33,100.0,100.0,False
-33.067057,373,39.500717,1,0,3,0,37,90.0,100.0,False
-37.657145,305,40.233734,1,0,1,0,25,40.0,100.0,False
