#{"t_start": 1789306239.3749254, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-39.387623,283,1.0272,1,0,2,0,28,60.0,100.0,False
-40.480795,211,1.770577,1,0,0,0,20,20.0,100.0,False
-40.409906,225,2.544052,1,0,1,0,20,30.0,100.0,False
-39.597759,221,3.322782,1,0,1,0,16,30.0,100.0,False
-39.218017,250,5.218147,1,0,2,0,20,60.0,100.0,False
-40.778872,215,5.978332,1,0,0,0,18,20.0,100.0,False
-39.932952,224,6.757701,1,0,2,0,20,40.0,100.0,False
-40.111823,244,7.611172,1,0,1,0,17,40.0,100.0,False
-41.109923,200,9.401249,1,0,0,0,15,10.0,100.0,False
-39.908941,245,10.255097,1,0,1,0,21,30.0,100.0,False
-39.387535,250,11.09523,1,0,2,0,24,50.0,100.0,False
-40.007253,211,11.834507,1,0,1,0,20,30.0,100.0,False
-40.477792,234,12.649698,1,0,1,0,22,40.0,100.0,False
-41.32563,217,14.490923,1,0,0,0,18,0.0,100.0,False
-38.302199,266,15.449136,1,0,3,0,20,70.0,100.0,False
-40.911647,267,16.385256,1,0,0,0,25,20.0,100.0,False
-39.593894,280,17.366733,1,0,2,0,24,50.0,100.0,False
-37.207719,305,19.445358,1,0,2,0,27,90.0,100.0,False
-39.329619,290,20.474485,1,0,1,0,24,50.0,100.0,False
-40.580321,298,21.534389,1,0,2,0,27,40.0,100.0,False
-40.464063,302,23.769578,1,0,1,0,25,30.0,100.0,False
-38.363095,387,25.198199,1,0,2,0,33,80.0,100.0,False
-39.659082,308,26.286362,1,0,2,0,26,50.0,100.0,False
-39.633263,327,28.50832,1,0,2,0,26,40.0,100.0,False
-36.314702,349,29.774888,1,0,3,0,31,90.0,100.0,False
-38.570627,255,30.729036,1,0,0,0,18,30.0,100.0,False
-41.701942,304,31.832691,1,0,1,0,30,30.0,100.0,False
-38.667695,282,33.867517,1,0,0,0,25,30.0,100.0,False
-38.957613,334,35.136545,1,0,2,0,28,70.0,100.0,False
-41.847494,285,36.22343,1,0,0,0,25,0.0,100.0,False
-40.752716,343,38.692467,1,0,2,0,30,50.0,100.0,False
-39.386357,383,40.135019,1,0,3,0,32,70.0,100.0,False
-36.117903,414,41.702039,1,0,4,0,38,130.0,100.0,False
-40.092373,424,44.437826,1,0,2,0,33,60.0,100.0,False
-39.119056,491,46.484263,1,0,4,0,38,110.0,100.0,False
-38.326128,414,49.260326,1,0,2,0,36,80.0,100.0,False
-38.015497,333,50.576618,1,0,2,0,27,80.0,100.0,False
-36.797771,390,52.110877,1,0,3,0,40,100.0,100.0,False
-40.636827,424,54.926522,1,0,2,0,35,50.0,100.0,False
-38.117213,446,56.658621,1,0,2,0,35,90.0,100.0,False
-39.748954,466,62.53301,1,0,4,0,33,80.0,100.0,False
-37.427466,463,64.25545,1,0,3,0,43,120.0,100.0,False
