#{"t_start": 1789306310.9988513, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-38.649199,249,0.900978,1,0,2,0,23,60.0,100.0,False
-39.420726,278,1.873547,1,0,2,0,26,60.0,100.0,False
-40.392,216,2.739558,1,0,1,0,20,30.0,100.0,False
-40.620739,243,3.617363,1,0,1,0,21,30.0,100.0,False
-41.410081,211,5.548216,1,0,0,0,20,20.0,100.0,False
-40.217395,249,6.427998,1,0,2,0,21,50.0,100.0,False
-40.172113,204,7.202095,1,0,1,0,14,20.0,100.0,False
-39.177792,218,7.980159,1,0,2,0,18,40.0,100.0,False
-40.980811,208,9.897154,1,0,0,0,14,20.0,100.0,False
-38.815058,241,10.743258,1,0,2,0,19,40.0,100.0,False
-40.96476,195,11.466443,1,0,0,0,18,20.0,100.0,False
-38.965885,201,12.182611,1,0,0,0,17,20.0,100.0,False
-39.599963,208,12.93037,1,0,0,0,16,10.0,100.0,False
-40.365176,202,14.94606,1,0,0,0,17,10.0,100.0,False
-39.980318,255,15.850009,1,0,2,0,22,40.0,100.0,False
-40.012054,242,16.701125,1,0,2,0,24,50.0,100.0,False
-39.821094,237,17.559553,1,0,1,0,22,30.0,100.0,False
-40.490337,237,18.416943,1,0,1,0,22,30.0,100.0,False
-37.234602,236,20.493816,1,0,2,0,19,60.0,100.0,False
-39.513439,223,21.296506,1,0,2,0,19,40.0,100.0,False
-39.186921,224,22.09906,1,0,1,0,19,40.0,100.0,False
-39.81166,248,23.001246,1,0,2,0,20,40.0,100.0,False
-39.420413,211,24.91793,1,0,0,0,18,10.0,100.0,False
-39.425537,205,25.689937,1,0,1,0,19,30.0,100.0,False
-37.447387,265,26.666696,1,0,3,0,23,70.0,100.0,False
-39.067561,237,27.492567,1,0,2,0,21,40.0,100.0,False
-38.681432,284,29.696781,1,0,3,0,25,70.0,100.0,False
-38.381451,195,30.386352,1,0,0,0,17,30.0,100.0,False
-40.17615,245,31.258066,1,0,2,0,18,40.0,100.0,False
-38.70304,238,32.182836,1,0,2,0,21,50.0,100.0,False
-38.207552,253,33.09185,1,0,1,0,21,40.0,100.0,False
-40.157801,227,35.094343,1,0,1,0,18,20.0,100.0,False
-39.10461,299,36.223848,1,0,3,0,26,70.0,100.0,False
-41.193212,279,37.240749,1,0,1,0,24,30.0,100.0,False
-40.364677,293,39.485032,1,0,2,0,28,50.0,100.0,False
-40.96919,261,40.429127,1,0,1,0,21,20.0,100.0,False
-39.893487,246,41.338554,1,0,1,0,19,30.0,100.0,False
-40.013238,241,42.203958,1,0,0,0,19,30.0,100.0,False
-40.343556,230,44.273739,1,0,1,0,15,20.0,100.0,False
-39.995854,254,45.196555,1,0,2,0,22,40.0,100.0,False
-40.113129,283,46.221369,1,0,2,0,23,40.0,100.0,False
-40.67182,282,47.24334,1,0,1,0,21,30.0,100.0,False
-41.522811,264,49.400532,1,0,1,0,20,20.0,100.0,False
-38.900285,267,50.393256,1,0,1,0,23,50.0,100.0,False
-40.075098,330,51.676893,1,0,3,0,29,80.0,100.0,False
-38.694354,305,52.766645,1,0,2,0,27,60.0,100.0,False
-39.853266,257,54.892284,1,0,1,0,21,30.0,100.0,False
-39.905302,246,55.79577,1,0,2,0,21,40.0,100.0,False
-41.597841,290,56.854958,1,0,1,0,26,40.0,100.0,False
-41.443504,258,57.848088,1,0,1,0,20,20.0,100.0,False
-40.090327,264,61.68258,1,0,2,0,21,50.0,100.0,False
-40.288597,282,62.686861,1,0,2,0,27,50.0,100.0,False
-41.601739,241,63.632679,1,0,0,0,21,0.0,100.0,False
