#{"t_start": 1789306697.7285173, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-25.186617,339,56.63697,1,0,0,1,11,60.0,100.0,False
-25.215166,334,57.059082,1,0,0,1,11,50.0,100.0,False
-24.967543,443,57.618437,1,0,1,1,10,70.0,100.0,False
-25.220166,329,58.037045,1,0,0,1,12,50.0,100.0,False
-25.183617,338,58.47438,1,0,0,1,11,60.0,100.0,False
-39.084361,270,120.143625,1,0,3,0,37,60.0,100.0,False
-39.199525,265,120.504758,1,0,3,0,37,60.0,100.0,False
-39.093417,276,120.860698,1,0,3,0,38,60.0,100.0,False
-39.07955,267,121.261628,1,0,3,0,37,60.0,100.0,False
-39.126145,279,121.622732,1,0,3,0,39,60.0,100.0,False
-36.239609,387,185.534684,1,0,3,0,28,100.0,100.0,False
-37.084083,393,186.067555,1,0,3,0,29,90.0,100.0,False
-23.511804,429,186.605099,1,0,2,1,19,90.0,100.0,False
-35.334417,453,187.217031,1,0,7,0,47,160.0,100.0,False
-23.136085,442,187.796322,1,0,3,1,31,110.0,100.0,False
-37.354347,356,253.231542,1,0,2,0,17,70.0,100.0,False
-38.393835,359,253.700952,1,0,2,0,19,60.0,100.0,False
-39.936816,348,254.147354,1,0,2,0,14,40.0,100.0,False
-36.517018,428,254.739045,1,0,3,0,26,90.0,100.0,False
-39.181042,346,255.215348,1,0,2,0,19,50.0,100.0,False
-40.203933,352,324.156871,1,0,2,0,16,40.0,100.0,False
-40.170723,340,324.589842,1,0,2,0,17,40.0,100.0,False
-39.654283,370,325.074387,1,0,3,0,25,60.0,100.0,False
-40.276731,347,325.565568,1,0,2,0,20,40.0,100.0,False
-39.725232,393,326.083728,1,0,3,0,26,60.0,100.0,False
-38.969626,380,391.385629,1,0,3,0,31,70.0,100.0,False
-37.340852,341,391.846942,1,0,3,0,31,80.0,100.0,False
-39.018563,343,392.297121,1,0,2,0,18,50.0,100.0,False
-39.074882,361,392.800834,1,0,2,0,17,50.0,100.0,False
-38.890789,380,393.298432,1,0,3,0,33,70.0,100.0,False
