#{"t_start": 1789176121.4989548, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-40.856395,220,2.761019,1,0,0,0,19,0.0,100.0,False
-41.097575,240,3.310055,1,0,0,0,22,0.0,100.0,False
-40.871259,222,3.854102,1,0,0,0,21,0.0,100.0,False
-40.807612,228,4.378546,1,0,0,0,21,0.0,100.0,False
-40.738265,226,5.578559,1,0,0,0,21,0.0,100.0,False
-41.206769,256,6.160456,1,0,0,0,27,0.0,100.0,False
-41.143338,230,6.706427,1,0,0,0,24,0.0,100.0,False
-41.128089,237,7.246303,1,0,0,0,26,0.0,100.0,False
-40.867896,222,8.418682,1,0,0,0,19,0.0,100.0,False
-40.93266,227,9.021649,1,0,0,0,23,0.0,100.0,False
-40.87501,227,9.57537,1,0,0,0,21,0.0,100.0,False
-41.0926,245,10.120727,1,0,0,0,22,0.0,100.0,False
-40.907831,235,10.689747,1,0,0,0,17,0.0,100.0,False
-36.211107,286,12.229922,1,0,2,0,30,40.0,100.0,False
-40.847392,234,12.824594,1,0,0,0,19,0.0,100.0,False
-38.933464,263,13.342561,1,0,1,0,25,20.0,100.0,False
-36.010689,247,13.96064,1,0,2,0,21,50.0,100.0,False
-40.607452,232,15.191795,1,0,0,0,20,0.0,100.0,False
-41.031604,251,15.827777,1,0,0,0,25,0.0,100.0,False
-41.012812,245,16.536065,1,0,0,0,22,0.0,100.0,False
-40.896446,232,17.125886,1,0,0,0,23,0.0,100.0,False
-41.05554,242,18.174159,1,0,0,0,25,0.0,100.0,False
-34.842829,272,18.836382,1,0,3,0,24,60.0,100.0,False
-38.255271,239,19.39419,1,0,1,0,26,30.0,100.0,False
-41.055813,245,19.936423,1,0,0,0,18,0.0,100.0,False
-34.463501,256,21.324521,1,0,3,0,26,60.0,100.0,False
-38.732849,241,21.920771,1,0,1,0,20,20.0,100.0,False
-40.730765,224,22.494157,1,0,0,0,17,0.0,100.0,False
-35.67258,291,23.282774,1,0,2,0,29,50.0,100.0,False
