#{"t_start": 1789305996.7503636, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-41.98071,236,2.895746,1,0,0,0,21,0.0,100.0,False
-42.085855,260,3.797307,1,0,0,0,22,0.0,100.0,False
-41.92367,271,4.758644,1,0,0,0,24,0.0,100.0,False
-42.358168,277,6.976801,1,0,0,0,26,0.0,100.0,False
-41.828319,241,7.844076,1,0,0,0,21,0.0,100.0,False
-41.893478,294,8.904676,1,0,0,0,25,0.0,100.0,False
-42.078292,251,9.79046,1,0,0,0,25,0.0,100.0,False
-41.980474,257,11.777914,1,0,0,0,22,0.0,100.0,False
-42.552714,269,12.718401,1,0,0,0,27,0.0,100.0,False
-42.233385,297,13.857816,1,0,0,0,32,0.0,100.0,False
-42.307863,274,14.346524,1,0,0,0,31,0.0,100.0,False
-41.719482,248,15.362549,1,0,0,0,25,0.0,100.0,False
-42.150737,260,15.878612,1,0,0,0,29,0.0,100.0,False
-41.755744,280,16.383858,1,0,0,0,31,0.0,100.0,False
-42.216961,262,16.801661,1,0,0,0,29,0.0,100.0,False
-41.587023,295,17.722279,1,0,0,0,31,0.0,100.0,False
-41.795113,267,18.160758,1,0,0,0,30,0.0,100.0,False
-41.440042,256,18.5871,1,0,0,0,29,0.0,100.0,False
-42.486324,288,19.128274,1,0,0,0,29,0.0,100.0,False
-42.422695,307,20.383523,1,0,0,0,35,0.0,100.0,False
-42.178363,305,20.952011,1,0,0,0,30,0.0,100.0,False
-42.570661,308,21.543511,1,0,0,0,31,0.0,100.0,False
-42.63952,310,22.459503,1,0,0,0,29,0.0,100.0,False
-42.726416,314,22.975361,1,0,0,0,31,0.0,100.0,False
-42.538421,307,23.47936,1,0,0,0,28,0.0,100.0,False
-42.126179,267,24.411813,1,0,0,0,23,0.0,100.0,False
-41.952641,296,25.576023,1,0,0,0,27,0.0,100.0,False
-41.574991,292,26.647125,1,0,0,0,27,0.0,100.0,False
-41.649529,266,27.160645,1,0,0,0,25,0.0,100.0,False
-42.299932,313,28.154518,1,0,0,0,26,0.0,100.0,False
-42.132564,306,28.669197,1,0,0,0,25,0.0,100.0,False
-42.224169,304,29.231648,1,0,0,0,28,0.0,100.0,False
-42.567731,312,30.199772,1,0,0,0,26,0.0,100.0,False
-42.436167,311,30.719643,1,0,0,0,27,0.0,100.0,False
-42.100929,311,31.26401,1,0,0,0,25,0.0,100.0,False
-42.496448,317,31.794739,1,0,0,0,24,0.0,100.0,False
-42.492978,313,32.672893,1,0,0,0,28,0.0,100.0,False
-42.654319,306,33.192067,1,0,0,0,30,0.0,100.0,False
-42.556094,312,33.692612,1,0,0,0,30,0.0,100.0,False
-42.511188,326,34.655228,1,0,0,0,33,0.0,100.0,False
-41.716079,315,35.211339,1,0,0,0,31,0.0,100.0,False
-42.877067,300,35.737837,1,0,0,0,28,0.0,100.0,False
-42.221334,306,36.781158,1,0,0,0,30,0.0,100.0,False
-42.731231,330,39.92219,1,0,0,0,30,0.0,100.0,False
-42.079064,268,40.888171,1,0,0,0,24,0.0,100.0,False
