#{"t_start": 1789297432.7302902, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-41.345662,226,0.489175,1,0,0,0,21,0.0,100.0,False
-41.882279,259,1.110271,1,0,0,0,22,0.0,100.0,False
-40.745993,223,1.613317,1,0,0,0,20,0.0,100.0,False
-41.403456,251,2.047425,1,0,0,0,22,0.0,100.0,False
-40.607403,222,3.223054,1,0,0,0,19,0.0,100.0,False
-41.470403,234,3.721487,1,0,0,0,21,0.0,100.0,False
-40.583597,235,4.201004,1,0,0,0,21,0.0,100.0,False
-41.455333,238,4.80948,1,0,0,0,20,0.0,100.0,False
-41.447847,244,6.109737,1,0,0,0,19,0.0,100.0,False
-41.564152,244,6.622942,1,0,0,0,23,0.0,100.0,False
-41.300637,218,7.107506,1,0,0,0,20,0.0,100.0,False
-41.620705,256,7.888639,1,0,0,0,23,0.0,100.0,False
-41.433991,263,9.276223,1,0,0,0,23,0.0,100.0,False
-35.244441,239,9.723897,1,0,2,0,14,50.0,100.0,False
-41.537288,256,10.374623,1,0,0,0,23,0.0,100.0,False
-39.653103,211,11.023082,1,0,0,0,18,20.0,100.0,False
-38.689105,241,11.581681,1,0,1,0,18,20.0,100.0,False
-41.549095,250,12.733959,1,0,0,0,24,0.0,100.0,False
-41.39024,264,13.258072,1,0,0,0,24,0.0,100.0,False
-41.622786,264,14.090136,1,0,0,0,22,0.0,100.0,False
-41.965129,244,14.635852,1,0,0,0,22,0.0,100.0,False
-36.32774,270,15.725704,1,0,2,0,22,40.0,100.0,False
-36.370027,259,16.193213,1,0,2,0,23,50.0,100.0,False
-35.644158,237,16.800697,1,0,2,0,17,50.0,100.0,False
-34.522666,276,17.582249,1,0,2,0,23,70.0,100.0,False
-33.609116,284,18.728509,1,0,3,0,23,70.0,100.0,False
-35.725071,251,19.206521,1,0,2,0,16,50.0,100.0,False
-37.340237,245,19.839494,1,0,1,0,17,40.0,100.0,False
-38.070369,246,20.432039,1,0,1,0,13,20.0,100.0,False
-33.105242,253,21.643991,1,0,3,0,18,70.0,100.0,False
-22.770736,291,22.231573,1,0,3,1,19,110.0,100.0,False
-30.282962,288,23.03684,1,0,4,0,24,100.0,100.0,False
-22.978191,325,24.478855,1,0,3,1,26,110.0,100.0,False
-21.0873,308,25.135147,1,0,4,1,25,130.0,100.0,False
-29.472662,295,25.924098,1,0,4,0,26,120.0,100.0,False
-31.726838,292,26.612948,1,0,3,0,25,100.0,100.0,False
-20.858783,308,27.824949,1,0,4,1,28,130.0,100.0,False
-20.914064,305,28.490499,1,0,4,1,25,130.0,100.0,False
-25.173712,302,29.29498,1,0,2,1,24,90.0,100.0,False
-22.585714,325,31.212646,1,0,3,1,26,110.0,100.0,False
-28.97421,308,32.084952,1,0,4,0,26,120.0,100.0,False
-22.249757,331,32.91601,1,0,3,1,26,120.0,100.0,False
-22.280873,297,34.172121,1,0,3,1,24,110.0,100.0,False
-26.381922,271,34.846862,1,0,1,1,24,80.0,100.0,False
-20.546896,325,35.57865,1,0,4,1,32,130.0,100.0,False
-28.552844,248,36.104482,1,0,0,1,22,60.0,100.0,False
-20.482639,302,38.070227,1,0,4,1,28,130.0,100.0,False
-20.51996,293,38.870974,1,0,4,1,27,130.0,100.0,False
-20.723071,321,39.552403,1,0,4,1,24,130.0,100.0,False
