#{"t_start": 1789297474.3818479, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-34.74685,310,0.841049,1,0,3,0,27,60.0,100.0,False
-40.97157,224,1.451444,1,0,0,0,21,0.0,100.0,False
-35.474377,251,1.897485,1,0,2,0,21,50.0,100.0,False
-40.775826,248,3.355658,1,0,0,0,24,0.0,100.0,False
-38.526847,242,3.833648,1,0,1,0,20,20.0,100.0,False
-36.632574,263,4.350638,1,0,2,0,24,40.0,100.0,False
-41.096318,238,4.93174,1,0,0,0,25,0.0,100.0,False
-23.337695,376,6.554735,1,0,3,1,34,110.0,100.0,False
-38.404845,236,6.987102,1,0,1,0,18,20.0,100.0,False
-38.271878,237,7.580181,1,0,1,0,22,30.0,100.0,False
-36.415583,260,8.295058,1,0,2,0,25,40.0,100.0,False
-30.700567,282,9.838273,1,0,4,0,24,100.0,100.0,False
-35.071766,289,10.429245,1,0,2,0,29,70.0,100.0,False
-35.23692,262,11.258106,1,0,2,0,23,50.0,100.0,False
-30.487026,319,11.970158,1,0,4,0,34,110.0,100.0,False
-32.269822,333,13.430194,1,0,3,0,34,100.0,100.0,False
-34.326826,279,14.078987,1,0,3,0,22,60.0,100.0,False
-24.148638,302,14.80752,1,0,2,1,30,100.0,100.0,False
-21.689348,317,16.384978,1,0,4,1,30,130.0,100.0,False
-38.507587,214,16.841406,1,0,1,0,23,20.0,100.0,False
-34.618048,280,17.577515,1,0,2,0,28,70.0,100.0,False
-40.287741,227,18.129321,1,0,0,0,23,10.0,100.0,False
-34.657251,305,19.622444,1,0,3,0,29,60.0,100.0,False
-37.513338,237,20.07813,1,0,1,0,22,30.0,100.0,False
-23.187707,294,20.89905,1,0,3,1,29,110.0,100.0,False
-34.354045,272,21.522205,1,0,2,0,27,70.0,100.0,False
-21.423837,347,22.871886,1,0,4,1,39,130.0,100.0,False
-25.503811,370,23.678216,1,0,2,1,33,90.0,100.0,False
-32.3593,269,24.324587,1,0,4,0,27,80.0,100.0,False
-22.583744,310,26.05471,1,0,3,1,33,120.0,100.0,False
-20.596024,321,26.756013,1,0,4,1,33,130.0,100.0,False
-22.567146,358,27.638139,1,0,3,1,32,120.0,100.0,False
-23.477658,349,29.166946,1,0,3,1,33,110.0,100.0,False
-23.11249,338,30.057311,1,0,3,1,34,110.0,100.0,False
-23.422343,332,30.935568,1,0,3,1,32,110.0,100.0,False
-22.904559,308,32.456235,1,0,3,1,29,110.0,100.0,False
-21.262327,327,33.293672,1,0,4,1,35,130.0,100.0,False
-22.550217,355,34.276321,1,0,3,1,34,110.0,100.0,False
-24.558029,356,35.998229,1,0,2,1,34,100.0,100.0,False
-20.356934,334,36.873551,1,0,4,1,34,130.0,100.0,False
-25.507592,359,37.794226,1,0,2,1,37,90.0,100.0,False
-21.772847,326,39.487953,1,0,3,1,33,120.0,100.0,False
-25.108886,279,41.088318,1,0,2,1,29,90.0,100.0,False
-22.624561,367,41.869823,1,0,3,1,39,120.0,100.0,False
