control_style,episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
rotation,1,12000,-27.59412278556831,277,death,1,0,1,1,7,70.0,100.0,False
rotation,2,12001,-27.278724271774376,281,death,1,0,1,1,15,70.0,100.0,False
rotation,3,12002,-28.509573342580143,402,death,1,0,1,1,10,70.0,100.0,False
rotation,4,12003,-27.656182449634304,248,death,1,0,1,1,7,70.0,100.0,False
rotation,5,12004,-27.341595377922136,270,death,1,0,1,1,10,70.0,100.0,False
rotation,6,12005,-27.60650982908111,282,death,1,0,1,1,7,70.0,100.0,False
rotation,7,12006,-27.019995217323384,280,death,1,0,1,1,16,70.0,100.0,False
rotation,8,12007,-27.347211702823728,273,death,1,0,1,1,10,70.0,100.0,False
rotation,9,12008,-28.739737682782767,421,death,1,0,1,1,7,70.0,100.0,False
rotation,10,12009,-27.192524968624188,267,death,1,0,1,1,16,70.0,100.0,False
rotation,11,12010,-27.3420617842675,270,death,1,0,1,1,10,70.0,100.0,False
rotation,12,12011,-28.337274707867635,408,death,1,0,1,1,15,70.0,100.0,False
rotation,13,12012,-28.377796140047312,417,death,1,0,1,1,13,70.0,100.0,False
rotation,14,12013,-27.35281390142449,276,death,1,0,1,1,10,70.0,100.0,False
rotation,15,12014,-27.578171899795596,269,death,1,0,1,1,7,70.0,100.0,False
rotation,16,12015,-27.34505107982351,269,death,1,0,1,1,10,70.0,100.0,False
rotation,17,12016,-27.592171899795606,276,death,1,0,1,1,7,70.0,100.0,False
rotation,18,12017,-27.447827882766802,275,death,1,0,1,1,10,70.0,100.0,False
rotation,19,12018,-28.715035231516996,408,death,1,0,1,1,7,70.0,100.0,False
rotation,20,12019,-27.36022214651116,280,death,1,0,1,1,10,70.0,100.0,False
rotation,21,12020,-27.267968902111136,276,death,1,0,1,1,15,70.0,100.0,False
rotation,22,12021,-27.44026885080347,279,death,1,0,1,1,9,70.0,100.0,False
rotation,23,12022,-27.252636593341904,268,death,1,0,1,1,15,70.0,100.0,False
rotation,24,12023,-27.040979671991867,272,death,1,0,1,1,16,70.0,100.0,False
rotation,25,12024,-25.201031736960765,275,death,1,0,2,1,11,100.0,100.0,False
rotation,26,12025,-27.270163988113485,277,death,1,0,1,1,15,70.0,100.0,False
rotation,27,12026,-27.586171899795602,273,death,1,0,1,1,7,70.0,100.0,False
rotation,28,12027,-27.469882719040005,286,death,1,0,1,1,10,70.0,100.0,False
rotation,29,12028,-28.211082937497444,412,death,1,0,1,1,16,70.0,100.0,False
rotation,30,12029,-28.703585709938704,402,death,1,0,1,1,7,70.0,100.0,False
direct,1,12000,69.53916768884665,1417,death,2,1,31,2,168,780.0,100.0,True
direct,2,12001,-31.93496305043881,375,death,1,0,4,0,34,100.0,100.0,False
direct,3,12002,-17.74050936192732,526,death,1,0,10,0,55,220.0,100.0,False
direct,4,12003,44.721252136157396,1626,death,1,0,39,0,182,830.0,100.0,False
direct,5,12004,14.203266928526073,1053,death,1,0,24,0,129,550.0,100.0,False
direct,6,12005,87.22413907630613,2006,death,2,1,40,2,249,910.0,100.0,True
direct,7,12006,6.546656330622206,944,death,1,0,21,0,111,470.0,100.0,False
direct,8,12007,7.8121659767077105,962,death,1,0,22,0,117,490.0,100.0,False
direct,9,12008,-23.523383480292075,501,death,1,0,8,0,49,170.0,100.0,False
direct,10,12009,53.711125672303865,1334,death,2,1,23,2,171,620.0,100.0,True
direct,11,12010,-15.028465312004103,594,death,1,0,11,0,74,250.0,100.0,False
direct,12,12011,32.6980242375227,1300,death,1,0,29,1,154,660.0,100.0,False
direct,13,12012,60.59176528596953,1738,death,1,0,42,1,189,930.0,100.0,False
direct,14,12013,-34.59652877242748,363,death,1,0,2,0,29,70.0,100.0,False
direct,15,12014,7.368837763052621,879,death,1,0,17,1,89,420.0,100.0,False
direct,16,12015,2.3441881362842736,908,death,1,0,19,0,104,440.0,100.0,False
direct,17,12016,-8.26299516571478,748,death,1,0,15,0,74,320.0,100.0,False
direct,18,12017,-23.278592348869047,518,death,1,0,8,0,43,180.0,100.0,False
direct,19,12018,48.18704356542001,1365,death,2,1,23,2,152,570.0,100.0,True
direct,20,12019,-15.680612970608957,574,death,1,0,11,0,63,240.0,100.0,False
direct,21,12020,-27.29764289914644,433,death,1,0,6,0,35,150.0,100.0,False
direct,22,12021,-10.757820284513386,742,death,1,0,12,0,83,320.0,100.0,False
direct,23,12022,15.861608340556582,1040,death,1,0,21,1,113,480.0,100.0,False
direct,24,12023,30.41631312289571,1236,death,1,0,28,1,137,630.0,100.0,False
direct,25,12024,26.776168132378363,1180,death,1,0,26,1,131,590.0,100.0,False
direct,26,12025,-19.132662838165594,559,death,1,0,10,0,53,230.0,100.0,False
direct,27,12026,63.00814231681817,1321,death,2,1,28,2,160,710.0,100.0,True
direct,28,12027,65.33357508960187,1474,death,2,1,28,2,175,740.0,100.0,True
direct,29,12028,70.74663004486395,1788,death,2,1,32,2,203,810.0,100.0,True
direct,30,12029,-29.97686486985133,396,death,1,0,4,0,42,120.0,100.0,False
