episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,12000,29.429437803396095,546,death,2,1,10,2,62,340.0,100.0,True
2,12001,32.157490254883825,691,death,2,1,13,2,80,440.0,100.0,True
3,12002,32.399082579942295,643,death,2,1,13,2,67,420.0,100.0,True
4,12003,-1.4841380547595122,4026,death,1,0,58,1,487,1220.0,100.0,False
5,12004,28.839029030536633,508,death,2,1,9,2,65,310.0,100.0,True
6,12005,44.700468671554816,452,death,2,1,6,3,57,320.0,100.0,True
7,12006,100.59628845587183,1041,death,3,2,22,4,131,680.0,100.0,True
8,12007,33.04235991621005,955,death,2,1,17,2,106,480.0,100.0,True
9,12008,34.31135757282054,783,death,2,1,17,2,97,490.0,100.0,True
10,12009,38.456813304842306,5400,time_limit,1,0,82,1,594,1700.0,70.0,False
11,12010,42.55272617940414,1283,death,2,1,30,2,168,760.0,100.0,True
12,12011,-26.739462949687148,1108,death,1,0,25,0,138,530.0,100.0,False
13,12012,30.44724396665689,628,death,2,1,11,2,70,370.0,100.0,True
14,12013,35.28114953984072,1044,death,2,1,20,2,115,580.0,100.0,True
15,12014,47.840920229291214,705,death,2,1,12,3,81,450.0,100.0,True
16,12015,109.09802080157979,1537,death,3,2,30,4,183,970.0,100.0,True
17,12016,28.14430212617945,474,death,2,1,7,2,56,290.0,100.0,True
18,12017,28.48304098909791,504,death,2,1,8,2,64,300.0,100.0,True
19,12018,-22.904894214491563,1336,death,1,0,32,0,169,650.0,100.0,False
20,12019,32.747911710352966,772,death,2,1,14,2,66,420.0,100.0,True
21,12020,-11.611532550526594,1834,death,1,0,46,0,256,980.0,100.0,False
22,12021,32.96859544360204,792,death,2,1,15,2,84,450.0,100.0,True
23,12022,59.936685082075634,5400,time_limit,1,0,76,1,557,1580.0,60.0,False
24,12023,-28.71513065029839,977,death,1,0,22,0,118,450.0,100.0,False
25,12024,46.55072593705475,1699,death,2,1,40,2,233,970.0,100.0,True
26,12025,37.046848690990466,1064,death,2,1,24,2,137,630.0,100.0,True
27,12026,31.43231477820635,972,death,2,1,16,2,110,450.0,100.0,True
28,12027,-17.096674760790734,1445,death,1,0,36,0,197,770.0,100.0,False
29,12028,67.10255944160004,3713,death,2,1,56,3,429,1530.0,100.0,True
30,12029,43.944163009341146,416,death,2,1,5,3,49,280.0,100.0,True
