episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,104200,-40.749888806670356,212,death,1,0,0,0,5,0.0,100.0,False
2,104201,-40.74888880667035,219,death,1,0,0,0,4,0.0,100.0,False
3,104202,-40.70388880667036,204,death,1,0,0,0,3,0.0,100.0,False
4,104203,-40.74588880667035,210,death,1,0,0,0,5,0.0,100.0,False
5,104204,-40.734888806670355,212,death,1,0,0,0,4,0.0,100.0,False
6,104205,-40.6252258060867,198,death,1,0,0,0,5,0.0,100.0,False
7,104206,-40.35475751861874,193,death,1,0,0,0,5,10.0,100.0,False
8,104207,-40.66504101023024,198,death,1,0,0,0,4,0.0,100.0,False
9,104208,-40.64251608261412,195,death,1,0,0,0,5,0.0,100.0,False
10,104209,-40.68212396225278,196,death,1,0,0,0,5,0.0,100.0,False
