control_style,candidate,source,sha256,training_timesteps,episodes,mean_return,std_return,min_return,max_return,mean_episode_steps,mean_max_phase,highest_phase,success_rate,mean_enemies_destroyed,mean_spawners_destroyed,mean_damage_dealt,mean_damage_taken,mean_shots_fired
rotation,canonical_current,models\rotation_agent.zip,d0ed7bae88d6e70489ef297e64b8d937a49eb9e94d041365cd49574a2eb45d5e,303104,30,-25.156549324460194,0.08859448782593742,-25.25616633503582,-24.78678173535014,366.76666666666665,1.0,1,0.0,0.3333333333333333,1.0,60.0,100.0,10.9
rotation,full_run_best,models\rotation\final_best\best_model.zip,d0ed7bae88d6e70489ef297e64b8d937a49eb9e94d041365cd49574a2eb45d5e,303104,30,-25.156549324460194,0.08859448782593742,-25.25616633503582,-24.78678173535014,366.76666666666665,1.0,1,0.0,0.3333333333333333,1.0,60.0,100.0,10.9
rotation,full_run_last,models\rotation\final_final.zip,fad98188b336301afe803d6eec6090bb012ce737db975796b4874432f0ae0db8,303104,30,-38.56537662727172,0.6363844804011883,-39.77745053095786,-36.50453446283743,367.8666666666667,1.0,1,0.0,2.6666666666666665,0.0,68.33333333333333,100.0,27.833333333333332
rotation,tune_baseline,models\tuning\rotation_tune_baseline.zip,d8bc66c151ee19f58d98a49591670f15de3d9d1cd6e9f9066bf8f56cc1282dd6,53248,30,-41.96563895820471,0.02153044356254667,-42.00943895820471,-41.92543895820471,302.4,1.0,1,0.0,0.0,0.0,0.0,100.0,0.0
rotation,tune_exploratory,models\tuning\rotation_tune_exploratory.zip,a05ce5201dd8af83a1d2b2a39ced195e5d112b615d9ad806071208030111df8b,53248,30,-42.929873605819395,0.04041481952104556,-43.01806308346529,-42.857063083465285,301.6,1.0,1,0.0,0.0,0.0,0.0,100.0,36.9
rotation,tune_stable,models\tuning\rotation_tune_stable.zip,b21d5f33e4b9108858994b85c04a509beb925952c5e9351c9e848f73cabd2052,53248,30,-41.20309398148291,0.023410254163507952,-41.244493981482904,-41.1724939814829,249.2,1.0,1,0.0,0.0,0.0,0.0,100.0,0.0
rotation,checkpoint_100000,checkpoints\rotation\final\ppo_rotation_final_100000_steps.zip,53f883552738d071384aff29ea3de3f8384c256ab65c236db541698ae8578509,100000,30,-38.76725923149785,0.4135761817686455,-39.38028430423141,-38.11792093142867,273.8666666666667,1.0,1,0.0,3.466666666666667,0.0,69.33333333333333,100.0,37.96666666666667
rotation,checkpoint_150000,checkpoints\rotation\final\ppo_rotation_final_150000_steps.zip,be073ff63c5a90b3da5b138985f7b2fb5aae49beddfa0c3f153a9c70a4ee8e7c,150000,30,-31.591331953961326,6.856589260760706,-38.0753817460337,-22.18554816109685,398.8333333333333,1.0,1,0.0,2.8333333333333335,0.4,95.33333333333333,100.0,28.633333333333333
rotation,checkpoint_200000,checkpoints\rotation\final\ppo_rotation_final_200000_steps.zip,bab8e8f3382e7a02839fd3fe9bae8496e2e32e00d4b6cba11a52da734bfa6874,200000,30,-38.65289545403597,1.2218271864864054,-40.34643568035044,-35.34603468298627,363.06666666666666,1.0,1,0.0,2.1,0.0,57.0,100.0,19.766666666666666
rotation,checkpoint_250000,checkpoints\rotation\final\ppo_rotation_final_250000_steps.zip,ca4f8faefd71345a6a71460dcf37f66d22e802ef3c915ebc77268a121c169214,250000,30,-39.8148203595225,0.6741965980364691,-41.099389664223565,-37.999055490833065,357.56666666666666,1.0,1,0.0,2.3333333333333335,0.0,50.333333333333336,100.0,23.266666666666666
