episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,12000,-27.59412278556831,277,death,1,0,1,1,7,70.0,100.0,False
2,12001,-27.278724271774376,281,death,1,0,1,1,15,70.0,100.0,False
3,12002,-28.509573342580143,402,death,1,0,1,1,10,70.0,100.0,False
4,12003,-27.656182449634304,248,death,1,0,1,1,7,70.0,100.0,False
5,12004,-27.341595377922136,270,death,1,0,1,1,10,70.0,100.0,False
6,12005,-27.60650982908111,282,death,1,0,1,1,7,70.0,100.0,False
7,12006,-27.019995217323384,280,death,1,0,1,1,16,70.0,100.0,False
8,12007,-27.347211702823728,273,death,1,0,1,1,10,70.0,100.0,False
9,12008,-28.739737682782767,421,death,1,0,1,1,7,70.0,100.0,False
10,12009,-27.192524968624188,267,death,1,0,1,1,16,70.0,100.0,False
11,12010,-27.3420617842675,270,death,1,0,1,1,10,70.0,100.0,False
12,12011,-28.337274707867635,408,death,1,0,1,1,15,70.0,100.0,False
13,12012,-28.377796140047312,417,death,1,0,1,1,13,70.0,100.0,False
14,12013,-27.35281390142449,276,death,1,0,1,1,10,70.0,100.0,False
15,12014,-27.578171899795596,269,death,1,0,1,1,7,70.0,100.0,False
16,12015,-27.34505107982351,269,death,1,0,1,1,10,70.0,100.0,False
17,12016,-27.592171899795606,276,death,1,0,1,1,7,70.0,100.0,False
18,12017,-27.447827882766802,275,death,1,0,1,1,10,70.0,100.0,False
19,12018,-28.715035231516996,408,death,1,0,1,1,7,70.0,100.0,False
20,12019,-27.36022214651116,280,death,1,0,1,1,10,70.0,100.0,False
21,12020,-27.267968902111136,276,death,1,0,1,1,15,70.0,100.0,False
22,12021,-27.44026885080347,279,death,1,0,1,1,9,70.0,100.0,False
23,12022,-27.252636593341904,268,death,1,0,1,1,15,70.0,100.0,False
24,12023,-27.040979671991867,272,death,1,0,1,1,16,70.0,100.0,False
25,12024,-25.201031736960765,275,death,1,0,2,1,11,100.0,100.0,False
26,12025,-27.270163988113485,277,death,1,0,1,1,15,70.0,100.0,False
27,12026,-27.586171899795602,273,death,1,0,1,1,7,70.0,100.0,False
28,12027,-27.469882719040005,286,death,1,0,1,1,10,70.0,100.0,False
29,12028,-28.211082937497444,412,death,1,0,1,1,16,70.0,100.0,False
30,12029,-28.703585709938704,402,death,1,0,1,1,7,70.0,100.0,False
