episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,104200,-33.08529910809918,272,death,1,0,3,0,37,60.0,100.0,False
2,104201,-37.31621149785443,227,death,1,0,1,0,31,20.0,100.0,False
3,104202,-32.54833402068539,279,death,1,0,3,0,38,60.0,100.0,False
4,104203,-36.93698175818846,214,death,1,0,1,0,29,30.0,100.0,False
5,104204,-34.912441961836066,252,death,1,0,2,0,35,40.0,100.0,False
6,104205,-32.17431546456738,287,death,1,0,3,0,40,60.0,100.0,False
7,104206,-34.543150524210176,269,death,1,0,2,0,37,40.0,100.0,False
8,104207,-32.59448457629605,274,death,1,0,3,0,38,60.0,100.0,False
9,104208,-32.50743159396572,280,death,1,0,3,0,39,60.0,100.0,False
10,104209,-35.03845440061016,264,death,1,0,2,0,36,40.0,100.0,False
