episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,104200,-35.11435663515701,250,death,1,0,2,0,19,50.0,100.0,False
2,104201,-35.49825577672943,253,death,1,0,2,0,16,40.0,100.0,False
3,104202,-35.69437989288939,260,death,1,0,2,0,12,40.0,100.0,False
4,104203,-35.10767757114395,248,death,1,0,2,0,18,50.0,100.0,False
5,104204,-35.612277056757335,252,death,1,0,2,0,14,40.0,100.0,False
6,104205,-35.669811977926614,262,death,1,0,2,0,8,50.0,100.0,False
7,104206,-36.06597764879835,258,death,1,0,2,0,6,40.0,100.0,False
8,104207,-35.82808068403226,264,death,1,0,2,0,9,40.0,100.0,False
9,104208,-33.48273301417006,255,death,1,0,3,0,15,60.0,100.0,False
10,104209,-35.44846393686904,264,death,1,0,2,0,15,40.0,100.0,False
