episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,104200,-22.414248768452566,276,death,1,0,3,1,38,110.0,100.0,False
2,104201,-24.562832268361067,272,death,1,0,2,1,37,90.0,100.0,False
3,104202,-29.894768420543485,279,death,1,0,4,0,38,80.0,100.0,False
4,104203,-24.615065303925473,277,death,1,0,2,1,38,90.0,100.0,False
5,104204,-31.80234503921491,278,death,1,0,3,0,38,60.0,100.0,False
6,104205,-29.828210129585084,287,death,1,0,4,0,39,80.0,100.0,False
7,104206,-29.814992160167513,283,death,1,0,4,0,39,80.0,100.0,False
8,104207,-29.886714947070896,277,death,1,0,4,0,38,80.0,100.0,False
9,104208,-29.89255151113492,280,death,1,0,4,0,38,80.0,100.0,False
10,104209,-31.797094448413674,275,death,1,0,3,0,38,60.0,100.0,False
