control_style,episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
rotation,1,9000,10.950585011848997,1498,death,1,0,18,1,202,420.0,100.0,False
rotation,2,9001,-28.184927337683224,432,death,1,0,1,1,9,70.0,100.0,False
rotation,3,9002,22.950882063021606,1331,death,1,0,23,1,180,520.0,100.0,False
rotation,4,9003,12.509747466857444,1565,death,1,0,19,1,220,440.0,100.0,False
rotation,5,9004,49.01455124070098,2582,death,1,0,33,1,365,720.0,100.0,False
rotation,6,9005,4.586210408100616,1274,death,1,0,15,1,170,360.0,100.0,False
rotation,7,9006,21.67763247713634,1807,death,1,0,22,1,254,500.0,100.0,False
rotation,8,9007,18.626354168011673,1630,death,1,0,21,1,227,480.0,100.0,False
rotation,9,9008,40.60911804103839,2303,death,1,0,29,1,325,640.0,100.0,False
rotation,10,9009,14.637577582139304,1415,death,1,0,19,1,199,440.0,100.0,False
rotation,11,9010,8.459580261633956,1466,death,1,0,17,1,161,400.0,100.0,False
rotation,12,9011,60.06533606951021,2975,death,1,0,38,1,421,820.0,100.0,False
rotation,13,9012,8.683669705391047,1445,death,1,0,17,1,193,400.0,100.0,False
rotation,14,9013,-5.152860254471019,1022,death,1,0,11,1,138,280.0,100.0,False
rotation,15,9014,-27.089462348901304,333,death,1,0,5,0,24,150.0,100.0,False
rotation,16,9015,25.302071761240914,1954,death,1,0,24,1,275,540.0,100.0,False
rotation,17,9016,8.154996684111083,1453,death,1,0,17,1,194,400.0,100.0,False
rotation,18,9017,27.52792197212731,2012,death,1,0,25,1,284,560.0,100.0,False
rotation,19,9018,-21.36110984967305,400,death,1,0,7,0,54,180.0,100.0,False
rotation,20,9019,18.86135384398261,1747,death,1,0,21,1,246,480.0,100.0,False
rotation,21,9020,21.807858549447733,1820,death,1,0,22,1,256,500.0,100.0,False
rotation,22,9021,-28.324908668554812,444,death,1,0,1,1,8,70.0,100.0,False
rotation,23,9022,-28.410523922186677,449,death,1,0,1,1,8,70.0,100.0,False
rotation,24,9023,8.076320057795169,1458,death,1,0,17,1,198,400.0,100.0,False
rotation,25,9024,5.936824092681626,1370,death,1,0,16,1,192,380.0,100.0,False
rotation,26,9025,-37.1938543757292,259,death,1,0,1,0,13,30.0,100.0,False
rotation,27,9026,11.646363218197582,1535,death,1,0,18,1,215,410.0,100.0,False
rotation,28,9027,27.539890833011075,1921,death,1,0,25,1,271,560.0,100.0,False
rotation,29,9028,-29.997557442665094,299,death,1,0,0,1,7,60.0,100.0,False
rotation,30,9029,18.29564156411247,1719,death,1,0,21,1,233,480.0,100.0,False
direct,1,9000,-28.31695146579008,415,death,1,0,5,0,52,120.0,100.0,False
direct,2,9001,-6.0215151025698574,755,death,1,0,16,0,98,330.0,100.0,False
direct,3,9002,-26.9005978443806,451,death,1,0,6,0,57,150.0,100.0,False
direct,4,9003,-19.789711065585795,554,death,1,0,10,0,72,210.0,100.0,False
direct,5,9004,-18.84264516592027,530,death,1,0,10,0,68,220.0,100.0,False
direct,6,9005,-26.18737047844666,431,death,1,0,6,0,55,130.0,100.0,False
direct,7,9006,-28.90581867434428,402,death,1,0,5,0,49,120.0,100.0,False
direct,8,9007,-26.9370117450494,431,death,1,0,6,0,54,130.0,100.0,False
direct,9,9008,1.8105398186903834,883,death,1,0,19,0,117,410.0,100.0,False
direct,10,9009,22.367922271288446,1269,death,1,0,29,0,172,600.0,100.0,False
direct,11,9010,-16.858098383389972,596,death,1,0,11,0,76,240.0,100.0,False
direct,12,9011,-9.989010603354515,684,death,1,0,14,0,85,290.0,100.0,False
direct,13,9012,30.831600925555698,1410,death,1,0,33,0,191,670.0,100.0,False
direct,14,9013,-24.247670942343184,511,death,1,0,7,0,64,160.0,100.0,False
direct,15,9014,-6.610569769639223,758,death,1,0,16,0,100,330.0,100.0,False
direct,16,9015,-12.012648248342364,658,death,1,0,13,0,84,270.0,100.0,False
direct,17,9016,-32.80446512596424,276,death,1,0,3,0,33,70.0,100.0,False
direct,18,9017,-27.251675349052118,458,death,1,0,6,0,58,130.0,100.0,False
direct,19,9018,-27.485640991981214,397,death,1,0,6,0,50,140.0,100.0,False
direct,20,9019,-27.90351889041754,460,death,1,0,6,0,58,140.0,100.0,False
direct,21,9020,-25.123441326398115,447,death,1,0,7,0,56,170.0,100.0,False
direct,22,9021,-9.433398264004627,700,death,1,0,14,0,90,310.0,100.0,False
direct,23,9022,-0.5347299193236665,866,death,1,0,18,0,116,390.0,100.0,False
direct,24,9023,10.559072317160066,1045,death,1,0,24,0,141,500.0,100.0,False
direct,25,9024,31.98121108843714,775,death,2,1,13,2,101,390.0,100.0,True
direct,26,9025,-10.068064322324908,698,death,1,0,14,0,90,300.0,100.0,False
direct,27,9026,-30.83521583641492,409,death,1,0,4,0,51,100.0,100.0,False
direct,28,9027,35.73000849998894,1460,death,1,0,35,0,199,730.0,100.0,False
direct,29,9028,-28.849047437924604,369,death,1,0,5,0,45,130.0,100.0,False
direct,30,9029,-27.1271335045741,437,death,1,0,6,0,54,130.0,100.0,False
