episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,100042,-10.240125069544813,659,death,1,0,14,0,86,290.0,100.0,False
2,100043,-9.294729954866312,693,death,1,0,14,0,89,300.0,100.0,False
3,100044,24.221121225980674,1249,death,1,0,30,0,168,610.0,100.0,False
4,100045,-29.341530069131117,339,death,1,0,5,0,42,130.0,100.0,False
5,100046,-34.288323285029485,280,death,1,0,2,0,33,60.0,100.0,False
6,100047,-10.193951739091212,699,death,1,0,14,0,88,290.0,100.0,False
7,100048,24.430631526690227,1269,death,1,0,30,0,171,610.0,100.0,False
8,100049,-28.78427823752623,411,death,1,0,5,0,48,110.0,100.0,False
9,100050,-9.57736091089254,686,death,1,0,14,0,89,310.0,100.0,False
10,100051,0.4884040532480327,899,death,1,0,19,0,116,390.0,100.0,False
11,100052,-32.99335364029957,305,death,1,0,3,0,37,70.0,100.0,False
12,100053,-5.694137712148446,771,death,1,0,16,0,102,320.0,100.0,False
13,100054,11.103435778030963,1043,death,1,0,23,0,139,490.0,100.0,False
14,100055,1.5439228902597044,886,death,1,0,19,0,114,400.0,100.0,False
15,100056,-1.049516104001281,825,death,1,0,18,0,109,390.0,100.0,False
16,100057,-18.6398376186444,523,death,1,0,9,0,67,230.0,100.0,False
17,100058,30.567418328872225,1389,death,1,0,33,0,190,690.0,100.0,False
18,100059,-2.52515998242448,846,death,1,0,18,0,112,360.0,100.0,False
19,100060,8.537975080966973,1037,death,1,0,23,0,139,470.0,100.0,False
20,100061,-16.860950690159406,609,death,1,0,11,0,79,230.0,100.0,False
