episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,104200,-40.617432700523985,258,death,1,0,0,0,0,0.0,100.0,False
2,104201,-40.583432700523986,241,death,1,0,0,0,0,0.0,100.0,False
3,104202,-40.605432700523984,252,death,1,0,0,0,0,0.0,100.0,False
4,104203,-40.595432700523986,247,death,1,0,0,0,0,0.0,100.0,False
5,104204,-40.59343270052397,246,death,1,0,0,0,0,0.0,100.0,False
6,104205,-40.611432700523984,255,death,1,0,0,0,0,0.0,100.0,False
7,104206,-40.62343270052398,261,death,1,0,0,0,0,0.0,100.0,False
8,104207,-40.62543270052399,262,death,1,0,0,0,0,0.0,100.0,False
9,104208,-40.63343270052398,266,death,1,0,0,0,0,0.0,100.0,False
10,104209,-40.61343270052397,256,death,1,0,0,0,0,0.0,100.0,False
