episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,104200,-40.67743270052398,258,death,1,0,0,0,4,0.0,100.0,False
2,104201,-40.673432700523975,241,death,1,0,0,0,6,0.0,100.0,False
3,104202,-40.66543270052398,252,death,1,0,0,0,4,0.0,100.0,False
4,104203,-40.685432700523975,247,death,1,0,0,0,6,0.0,100.0,False
5,104204,-40.653432700523965,246,death,1,0,0,0,4,0.0,100.0,False
6,104205,-40.70143270052398,255,death,1,0,0,0,6,0.0,100.0,False
7,104206,-40.713432700523974,261,death,1,0,0,0,6,0.0,100.0,False
8,104207,-40.70043270052398,262,death,1,0,0,0,5,0.0,100.0,False
9,104208,-40.70843270052398,266,death,1,0,0,0,5,0.0,100.0,False
10,104209,-40.67343270052397,256,death,1,0,0,0,4,0.0,100.0,False
