episode,return,steps,epsilon,died
1,0.0,52,1.0,1
2,0.0,23,0.9984166666666666,1
3,0.0,146,0.9968333333333333,1
4,1.0,40,0.99525,1
5,0.0,97,0.9936666666666667,1
6,1.0,120,0.9920833333333333,1
7,0.0,11,0.9905,1
8,0.0,24,0.9889166666666667,1
9,0.0,37,0.9873333333333333,1
10,0.0,46,0.98575,1
11,0.0,8,0.9841666666666666,1
12,0.0,29,0.9825833333333334,1
13,0.0,10,0.981,1
14,0.0,14,0.9794166666666667,1
15,0.0,9,0.9778333333333333,1
16,0.0,43,0.97625,1
17,3.0,400,0.9746666666666667,0
18,0.0,114,0.9730833333333333,1
19,0.0,25,0.9715,1
20,0.0,20,0.9699166666666666,1
21,0.0,20,0.9683333333333334,1
22,0.0,23,0.96675,1
23,0.0,39,0.9651666666666666,1
24,0.0,41,0.9635833333333333,1
25,0.0,18,0.962,1
26,1.0,54,0.9604166666666667,1
27,0.0,19,0.9588333333333333,1
28,0.0,54,0.95725,1
29,1.0,189,0.9556666666666667,1
30,0.0,114,0.9540833333333334,1
31,1.0,130,0.9525,1
32,0.0,237,0.9509166666666666,1
33,0.0,134,0.9493333333333334,1
34,0.0,31,0.94775,1
35,1.0,149,0.9461666666666667,1
36,1.0,104,0.9445833333333333,1
37,1.0,400,0.9430000000000001,0
38,0.0,248,0.9414166666666667,1
39,0.0,99,0.9398333333333333,1
40,0.0,59,0.93825,1
41,1.0,130,0.9366666666666666,1
42,1.0,318,0.9350833333333334,1
43,1.0,168,0.9335,1
44,0.0,53,0.9319166666666667,1
45,0.0,14,0.9303333333333333,1
46,0.0,9,0.92875,1
47,0.0,180,0.9271666666666667,1
48,0.0,125,0.9255833333333333,1
49,0.0,46,0.924,1
50,0.0,54,0.9224166666666667,1
51,0.0,69,0.9208333333333334,1
52,1.0,157,0.91925,1
53,0.0,18,0.9176666666666666,1
54,0.0,15,0.9160833333333334,1
55,1.0,83,0.9145,1
56,0.0,54,0.9129166666666667,1
57,0.0,25,0.9113333333333333,1
58,0.0,90,0.9097500000000001,1
59,0.0,89,0.9081666666666667,1
60,0.0,72,0.9065833333333333,1
61,0.0,41,0.905,1
62,1.0,400,0.9034166666666666,0
63,0.0,121,0.9018333333333334,1
64,0.0,69,0.90025,1
65,0.0,37,0.8986666666666667,1
66,0.0,21,0.8970833333333333,1
67,0.0,37,0.8955,1
68,1.0,113,0.8939166666666667,1
69,0.0,7,0.8923333333333333,1
70,1.0,53,0.89075,1
71,0.0,81,0.8891666666666667,1
72,0.0,51,0.8875833333333334,1
73,2.0,353,0.886,1
74,0.0,22,0.8844166666666666,1
75,0.0,96,0.8828333333333334,1
76,1.0,170,0.88125,1
77,0.0,73,0.8796666666666667,1
78,4.0,136,0.8780833333333333,1
79,3.0,325,0.8765000000000001,1
80,0.0,30,0.8749166666666667,1
81,0.0,26,0.8733333333333333,1
82,2.0,184,0.87175,1
83,0.0,8,0.8701666666666666,1
84,0.0,21,0.8685833333333334,1
85,1.0,67,0.867,1
86,0.0,14,0.8654166666666667,1
87,0.0,59,0.8638333333333333,1
88,0.0,5,0.86225,1
89,0.0,15,0.8606666666666667,1
