episode,return,steps,epsilon,died
1,0.0,400,1.0,0
2,0.0,400,0.9981,0
3,0.0,400,0.9962,0
4,1.0,400,0.9943,0
5,1.0,400,0.9924,0
6,0.0,400,0.9905,0
7,0.0,400,0.9886,0
8,0.0,400,0.9867,0
9,0.0,400,0.9848,0
10,0.0,400,0.9829,0
11,0.0,400,0.981,0
12,0.0,400,0.9791,0
13,0.0,400,0.9772,0
14,2.0,400,0.9753000000000001,0
15,0.0,400,0.9734,0
16,0.0,400,0.9715,0
17,0.0,400,0.9696,0
18,0.0,400,0.9677,0
19,0.0,400,0.9658,0
20,0.0,400,0.9639,0
21,0.0,400,0.962,0
22,0.0,400,0.9601,0
23,0.0,400,0.9582,0
24,0.0,400,0.9563,0
25,0.0,400,0.9544,0
26,0.0,400,0.9525,0
27,0.0,400,0.9506,0
28,0.0,400,0.9487,0
29,0.0,400,0.9468,0
30,0.0,400,0.9449,0
31,0.0,400,0.9430000000000001,0
32,0.0,400,0.9411,0
33,0.0,400,0.9392,0
34,0.0,400,0.9373,0
35,0.0,400,0.9354,0
36,0.0,400,0.9335,0
37,0.0,400,0.9316,0
38,0.0,400,0.9297,0
39,0.0,400,0.9278,0
40,0.0,400,0.9259,0
41,0.0,400,0.924,0
42,0.0,400,0.9221,0
43,0.0,400,0.9202,0
44,0.0,400,0.9183,0
45,0.0,400,0.9164,0
46,0.0,400,0.9145,0
47,0.0,400,0.9126,0
48,0.0,400,0.9107000000000001,0
49,0.0,400,0.9088,0
50,0.0,400,0.9069,0
51,0.0,400,0.905,0
52,0.0,400,0.9031,0
53,0.0,400,0.9012,0
54,0.0,400,0.8993,0
55,0.0,400,0.8974,0
56,0.0,400,0.8955,0
57,0.0,400,0.8936,0
58,0.0,400,0.8917,0
59,0.0,400,0.8898,0
60,0.0,400,0.8879,0
61,0.0,400,0.886,0
62,0.0,400,0.8841,0
63,0.0,400,0.8822,0
64,0.0,400,0.8803,0
65,0.0,400,0.8784,0
66,0.0,400,0.8765000000000001,0
67,0.0,400,0.8746,0
68,0.0,400,0.8727,0
69,0.0,400,0.8708,0
70,0.0,400,0.8689,0
71,0.0,400,0.867,0
72,0.0,400,0.8651,0
73,0.0,400,0.8632,0
74,0.0,400,0.8613,0
75,0.0,400,0.8594,0
76,0.0,400,0.8575,0
77,0.0,400,0.8556,0
78,0.0,400,0.8537,0
79,0.0,400,0.8518,0
80,0.0,400,0.8499,0
81,0.0,400,0.848,0
82,0.0,400,0.8461,0
83,0.0,400,0.8442000000000001,0
84,0.0,400,0.8423,0
85,0.0,400,0.8404,0
86,0.0,400,0.8385,0
87,0.0,400,0.8366,0
88,0.0,400,0.8347,0
89,0.0,400,0.8328,0
90,0.0,400,0.8309,0
91,0.0,400,0.829,0
92,0.0,400,0.8271,0
93,0.0,400,0.8252,0
94,0.0,400,0.8233,0
95,0.0,400,0.8214,0
96,0.0,400,0.8195,0
97,0.0,400,0.8176,0
98,0.0,400,0.8157,0
99,1.0,400,0.8138,0
100,0.0,400,0.8119000000000001,0
101,0.0,400,0.81,0
102,0.0,400,0.8081,0
103,0.0,400,0.8062,0
104,0.0,400,0.8043,0
105,0.0,400,0.8024,0
106,0.0,400,0.8005,0
107,0.0,400,0.7986,0
108,0.0,400,0.7967,0
109,0.0,400,0.7948,0
110,0.0,400,0.7929,0
111,0.0,400,0.791,0
112,0.0,400,0.7891,0
113,3.0,211,0.7872,0
114,0.0,400,0.7853,0
115,0.0,400,0.7834,0
116,0.0,400,0.7815,0
117,0.0,400,0.7796,0
118,0.0,400,0.7777000000000001,0
119,0.0,400,0.7758,0
120,0.0,400,0.7739,0
121,0.0,400,0.772,0
122,0.0,400,0.7701,0
123,0.0,400,0.7682,0
124,0.0,400,0.7663,0
125,0.0,400,0.7644,0
126,0.0,400,0.7625,0
127,0.0,400,0.7605999999999999,0
128,0.0,400,0.7587,0
129,0.0,400,0.7568,0
130,0.0,400,0.7549,0
131,0.0,400,0.753,0
132,0.0,400,0.7511,0
133,0.0,400,0.7492,0
134,0.0,400,0.7473000000000001,0
135,0.0,400,0.7454000000000001,0
136,0.0,400,0.7435,0
137,0.0,400,0.7416,0
138,0.0,400,0.7397,0
139,0.0,400,0.7378,0
140,0.0,400,0.7359,0
141,0.0,400,0.734,0
142,0.0,400,0.7321,0
143,3.0,301,0.7302,0
144,0.0,400,0.7283000000000001,0
145,0.0,400,0.7264,0
146,3.0,367,0.7245,0
147,0.0,400,0.7226,0
148,0.0,400,0.7207,0
149,1.0,400,0.7188000000000001,0
150,0.0,400,0.7169000000000001,0
151,3.0,278,0.7150000000000001,0
152,0.0,400,0.7131000000000001,0
153,0.0,400,0.7112,0
154,0.0,400,0.7093,0
155,3.0,123,0.7074,0
156,3.0,281,0.7055,0
157,0.0,400,0.7036,0
158,3.0,281,0.7017,0
159,0.0,400,0.6998,0
160,3.0,176,0.6979,0
161,3.0,263,0.696,0
162,0.0,400,0.6940999999999999,0
163,0.0,400,0.6921999999999999,0
164,0.0,400,0.6903,0
165,3.0,159,0.6884,0
166,0.0,400,0.6865,0
167,0.0,400,0.6846,0
168,0.0,400,0.6827,0
169,3.0,314,0.6808000000000001,0
170,0.0,400,0.6789000000000001,0
171,3.0,139,0.677,0
172,3.0,248,0.6751,0
173,3.0,148,0.6732,0
174,3.0,84,0.6713,0
175,3.0,307,0.6694,0
176,3.0,348,0.6675,0
177,3.0,92,0.6656,0
178,1.0,400,0.6637,0
179,3.0,159,0.6618,0
180,3.0,98,0.6599,0
181,1.0,400,0.658,0
182,3.0,132,0.6561,0
183,3.0,73,0.6542,0
184,3.0,115,0.6523000000000001,0
185,3.0,102,0.6504000000000001,0
186,3.0,65,0.6485000000000001,0
187,3.0,136,0.6466000000000001,0
188,3.0,91,0.6447,0
189,3.0,63,0.6428,0
190,3.0,125,0.6409,0
191,3.0,79,0.639,0
192,3.0,54,0.6371,0
193,3.0,86,0.6352,0
194,3.0,104,0.6333,0
195,3.0,132,0.6314,0
196,3.0,65,0.6295,0
197,3.0,85,0.6275999999999999,0
198,3.0,111,0.6256999999999999,0
199,3.0,119,0.6238,0
200,3.0,68,0.6219,0
201,3.0,93,0.62,0
202,3.0,118,0.6181,0
203,3.0,93,0.6162,0
204,3.0,139,0.6143000000000001,0
205,3.0,114,0.6124,0
206,3.0,87,0.6105,0
207,3.0,72,0.6086,0
208,3.0,81,0.6067,0
209,3.0,100,0.6048,0
210,3.0,99,0.6029,0
211,3.0,97,0.601,0
212,3.0,105,0.5991,0
213,3.0,79,0.5972,0
214,3.0,80,0.5953,0
215,3.0,81,0.5934,0
216,3.0,88,0.5915,0
217,3.0,116,0.5896,0
218,3.0,58,0.5877,0
219,3.0,87,0.5858000000000001,0
220,3.0,56,0.5839000000000001,0
221,3.0,61,0.5820000000000001,0
222,3.0,79,0.5801000000000001,0
223,3.0,100,0.5782,0
224,3.0,76,0.5763,0
225,3.0,98,0.5744,0
226,3.0,113,0.5725,0
227,3.0,56,0.5706,0
228,3.0,66,0.5687,0
229,3.0,105,0.5668,0
230,3.0,70,0.5649,0
231,3.0,67,0.563,0
232,3.0,108,0.5610999999999999,0
233,3.0,80,0.5591999999999999,0
234,3.0,99,0.5573,0
235,3.0,77,0.5554,0
236,3.0,54,0.5535000000000001,0
237,3.0,92,0.5516000000000001,0
238,3.0,179,0.5497000000000001,0
239,3.0,80,0.5478000000000001,0
240,3.0,62,0.5459,0
241,3.0,65,0.544,0
242,3.0,82,0.5421,0
243,3.0,72,0.5402,0
244,3.0,100,0.5383,0
245,3.0,92,0.5364,0
246,3.0,154,0.5345,0
247,3.0,85,0.5326,0
248,3.0,74,0.5307,0
249,3.0,72,0.5288,0
250,3.0,81,0.5269,0
251,3.0,80,0.525,0
252,3.0,75,0.5231,0
253,3.0,90,0.5212,0
254,3.0,74,0.5193000000000001,0
255,3.0,70,0.5174000000000001,0
256,3.0,63,0.5155000000000001,0
257,3.0,96,0.5136000000000001,0
258,3.0,90,0.5117,0
259,3.0,62,0.5098,0
260,3.0,116,0.5079,0
261,3.0,85,0.506,0
262,3.0,89,0.5041,0
263,3.0,61,0.5022,0
264,3.0,64,0.5003,0
265,3.0,78,0.49839999999999995,0
266,3.0,87,0.49650000000000005,0
267,3.0,72,0.49460000000000004,0
268,3.0,61,0.4927,0
269,3.0,85,0.4908,0
270,3.0,103,0.4889,0
271,3.0,72,0.487,0
272,3.0,53,0.4851,0
273,3.0,72,0.48319999999999996,0
274,3.0,76,0.48129999999999995,0
275,3.0,41,0.47939999999999994,0
276,3.0,51,0.47750000000000004,0
277,3.0,65,0.4756,0
278,3.0,111,0.4737,0
279,3.0,51,0.4718,0
280,3.0,55,0.4699,0
281,3.0,64,0.46799999999999997,0
282,3.0,43,0.46609999999999996,0
283,3.0,41,0.46420000000000006,0
284,3.0,54,0.46230000000000004,0
285,3.0,66,0.46040000000000003,0
286,3.0,83,0.4585,0
287,3.0,79,0.4566000000000001,0
288,3.0,72,0.4547000000000001,0
289,3.0,58,0.4528000000000001,0
290,3.0,74,0.4509000000000001,0
291,3.0,94,0.44900000000000007,0
292,3.0,57,0.44710000000000005,0
293,3.0,74,0.44520000000000004,0
294,3.0,59,0.4433,0
295,3.0,51,0.4414,0
296,3.0,72,0.4395,0
297,3.0,65,0.4376000000000001,0
298,3.0,44,0.4357000000000001,0
299,3.0,59,0.4338000000000001,0
300,3.0,56,0.43190000000000006,0
301,3.0,42,0.43000000000000005,0
302,3.0,54,0.42810000000000004,0
303,3.0,58,0.4262,0
304,3.0,44,0.4243,0
305,3.0,54,0.4224,0
306,3.0,55,0.4205,0
307,3.0,53,0.4186000000000001,0
308,3.0,54,0.41670000000000007,0
309,3.0,57,0.41480000000000006,0
310,3.0,69,0.41290000000000004,0
311,3.0,88,0.41100000000000003,0
312,3.0,59,0.4091,0
313,3.0,50,0.4072,0
314,3.0,65,0.4053,0
315,3.0,42,0.4034,0
316,3.0,48,0.4015000000000001,0
317,3.0,62,0.39960000000000007,0
318,3.0,48,0.39770000000000005,0
319,3.0,46,0.39580000000000004,0
320,3.0,41,0.39390000000000003,0
321,3.0,36,0.392,0
322,3.0,46,0.3901,0
323,3.0,56,0.3882,0
324,3.0,59,0.3863,0
325,3.0,66,0.38439999999999996,0
326,3.0,62,0.38250000000000006,0
327,3.0,53,0.38060000000000005,0
328,3.0,39,0.37870000000000004,0
329,3.0,57,0.3768,0
330,3.0,63,0.3749,0
331,3.0,48,0.373,0
332,3.0,53,0.3711,0
333,3.0,56,0.3692,0
334,3.0,52,0.36729999999999996,0
335,3.0,64,0.36539999999999995,0
336,3.0,40,0.36350000000000005,0
337,3.0,52,0.36160000000000003,0
338,3.0,46,0.3597,0
339,3.0,69,0.3578,0
340,3.0,72,0.3559,0
341,3.0,53,0.354,0
342,3.0,53,0.35209999999999997,0
343,3.0,56,0.35019999999999996,0
344,3.0,49,0.34829999999999994,0
345,3.0,46,0.34640000000000004,0
346,3.0,61,0.34450000000000003,0
347,3.0,53,0.3426000000000001,0
348,3.0,42,0.3407000000000001,0
349,3.0,46,0.3388000000000001,0
350,3.0,52,0.3369000000000001,0
351,3.0,56,0.3350000000000001,0
352,3.0,44,0.33310000000000006,0
353,3.0,51,0.33120000000000005,0
354,3.0,47,0.32930000000000004,0
355,3.0,37,0.3274,0
356,3.0,45,0.3255,0
357,3.0,44,0.3236000000000001,0
358,3.0,48,0.3217000000000001,0
359,3.0,49,0.3198000000000001,0
360,3.0,39,0.31790000000000007,0
361,3.0,62,0.31600000000000006,0
362,3.0,39,0.31410000000000005,0
363,3.0,49,0.31220000000000003,0
364,3.0,53,0.3103,0
365,3.0,53,0.3084,0
366,3.0,46,0.3065,0
367,3.0,51,0.3046000000000001,0
368,3.0,44,0.3027000000000001,0
369,3.0,48,0.30080000000000007,0
370,3.0,48,0.29890000000000005,0
371,3.0,52,0.29700000000000004,0
372,3.0,43,0.29510000000000003,0
373,3.0,40,0.2932,0
374,3.0,36,0.2913,0
375,3.0,41,0.2894,0
376,3.0,44,0.2875000000000001,0
377,3.0,33,0.2856000000000001,0
378,3.0,44,0.28370000000000006,0
379,3.0,46,0.28180000000000005,0
380,3.0,47,0.27990000000000004,0
381,3.0,41,0.278,0
382,3.0,42,0.2761,0
383,3.0,43,0.2742,0
384,3.0,41,0.2723,0
385,3.0,42,0.2704,0
386,3.0,43,0.26850000000000007,0
387,3.0,41,0.26660000000000006,0
388,3.0,46,0.26470000000000005,0
389,3.0,42,0.26280000000000003,0
390,3.0,61,0.2609,0
391,3.0,46,0.259,0
392,3.0,41,0.2571,0
393,3.0,45,0.2552,0
394,3.0,40,0.25329999999999997,0
395,3.0,43,0.25139999999999996,0
396,3.0,42,0.24950000000000006,0
397,3.0,56,0.24760000000000004,0
398,3.0,39,0.24570000000000003,0
399,3.0,39,0.24380000000000002,0
400,3.0,38,0.2419,0
401,3.0,56,0.24,0
402,3.0,40,0.23809999999999998,0
403,3.0,50,0.23619999999999997,0
404,3.0,38,0.23429999999999995,0
405,3.0,39,0.23239999999999994,0
406,3.0,36,0.23050000000000004,0
407,3.0,53,0.22860000000000003,0
408,3.0,46,0.22670000000000012,0
409,3.0,41,0.2248000000000001,0
410,3.0,34,0.2229000000000001,0
411,3.0,36,0.22100000000000009,0
412,3.0,42,0.21910000000000007,0
413,3.0,41,0.21720000000000006,0
414,3.0,38,0.21530000000000005,0
415,3.0,43,0.21340000000000003,0
416,3.0,47,0.21150000000000002,0
417,3.0,35,0.20960000000000012,0
418,3.0,37,0.2077000000000001,0
419,3.0,38,0.2058000000000001,0
420,3.0,54,0.20390000000000008,0
421,3.0,42,0.20200000000000007,0
422,3.0,40,0.20010000000000006,0
423,3.0,45,0.19820000000000004,0
424,3.0,32,0.19630000000000003,0
425,3.0,37,0.19440000000000002,0
426,3.0,38,0.1925,0
427,3.0,43,0.1906000000000001,0
428,3.0,36,0.1887000000000001,0
429,3.0,40,0.18680000000000008,0
430,3.0,34,0.18490000000000006,0
431,3.0,48,0.18300000000000005,0
432,3.0,37,0.18110000000000004,0
433,3.0,39,0.17920000000000003,0
434,3.0,39,0.1773,0
435,3.0,38,0.1754,0
436,3.0,34,0.1735,0
437,3.0,35,0.17160000000000009,0
438,3.0,38,0.16970000000000007,0
439,3.0,32,0.16780000000000006,0
440,3.0,40,0.16590000000000005,0
441,3.0,42,0.16400000000000003,0
442,3.0,36,0.16210000000000002,0
443,3.0,36,0.1602,0
444,3.0,37,0.1583,0
445,3.0,46,0.15639999999999998,0
446,3.0,35,0.15450000000000008,0
447,3.0,37,0.15260000000000007,0
448,3.0,37,0.15070000000000006,0
449,3.0,35,0.14880000000000004,0
450,3.0,37,0.14690000000000003,0
451,3.0,38,0.14500000000000002,0
452,3.0,44,0.1431,0
453,3.0,31,0.1412,0
454,3.0,38,0.13929999999999998,0
455,3.0,39,0.13739999999999997,0
456,3.0,38,0.13550000000000006,0
457,3.0,47,0.13360000000000005,0
458,3.0,35,0.13170000000000004,0
459,3.0,34,0.12980000000000003,0
460,3.0,37,0.1279,0
461,3.0,34,0.126,0
462,3.0,34,0.12409999999999999,0
463,3.0,41,0.12219999999999998,0
464,3.0,36,0.12029999999999996,0
465,3.0,42,0.11839999999999995,0
466,3.0,36,0.11650000000000005,0
467,3.0,37,0.11460000000000004,0
468,3.0,35,0.11270000000000002,0
469,3.0,38,0.11080000000000001,0
470,3.0,36,0.10890000000000011,0
471,3.0,33,0.1070000000000001,0
472,3.0,37,0.10510000000000008,0
473,3.0,34,0.10320000000000007,0
474,3.0,35,0.10130000000000006,0
475,3.0,31,0.09940000000000004,0
476,3.0,33,0.09750000000000003,0
477,3.0,33,0.09560000000000013,0
478,3.0,38,0.09370000000000012,0
479,3.0,37,0.0918000000000001,0
480,3.0,31,0.08990000000000009,0
481,3.0,34,0.08800000000000008,0
482,3.0,33,0.08610000000000007,0
483,3.0,34,0.08420000000000005,0
484,3.0,35,0.08230000000000004,0
485,3.0,35,0.08040000000000003,0
486,3.0,33,0.07850000000000001,0
487,3.0,33,0.07660000000000011,0
488,3.0,39,0.0747000000000001,0
489,3.0,32,0.07280000000000009,0
490,3.0,36,0.07090000000000007,0
491,3.0,34,0.06900000000000006,0
492,3.0,32,0.06710000000000005,0
493,3.0,34,0.06520000000000004,0
494,3.0,35,0.06330000000000002,0
495,3.0,32,0.06140000000000001,0
496,3.0,33,0.0595,0
497,3.0,32,0.057600000000000096,0
498,3.0,31,0.05570000000000008,0
499,3.0,32,0.05380000000000007,0
500,3.0,36,0.05190000000000006,0
501,3.0,32,0.050000000000000044,0
502,3.0,32,0.050000000000000044,0
503,3.0,32,0.050000000000000044,0
504,3.0,31,0.050000000000000044,0
505,3.0,36,0.050000000000000044,0
506,3.0,38,0.050000000000000044,0
507,3.0,34,0.050000000000000044,0
508,3.0,36,0.050000000000000044,0
509,3.0,33,0.050000000000000044,0
510,3.0,32,0.050000000000000044,0
511,3.0,33,0.050000000000000044,0
512,3.0,31,0.050000000000000044,0
513,3.0,32,0.050000000000000044,0
514,3.0,34,0.050000000000000044,0
515,3.0,31,0.050000000000000044,0
516,3.0,31,0.050000000000000044,0
517,3.0,31,0.050000000000000044,0
518,3.0,34,0.050000000000000044,0
519,3.0,32,0.050000000000000044,0
520,3.0,31,0.050000000000000044,0
521,3.0,33,0.050000000000000044,0
522,3.0,36,0.050000000000000044,0
523,3.0,38,0.050000000000000044,0
524,3.0,37,0.050000000000000044,0
525,3.0,34,0.050000000000000044,0
526,3.0,31,0.050000000000000044,0
527,3.0,33,0.050000000000000044,0
528,3.0,33,0.050000000000000044,0
529,3.0,33,0.050000000000000044,0
530,3.0,33,0.050000000000000044,0
531,3.0,31,0.050000000000000044,0
532,3.0,32,0.050000000000000044,0
533,3.0,31,0.050000000000000044,0
534,3.0,33,0.050000000000000044,0
535,3.0,31,0.050000000000000044,0
536,3.0,31,0.050000000000000044,0
537,3.0,31,0.050000000000000044,0
538,3.0,34,0.050000000000000044,0
539,3.0,36,0.050000000000000044,0
540,3.0,33,0.050000000000000044,0
541,3.0,33,0.050000000000000044,0
542,3.0,31,0.050000000000000044,0
543,3.0,34,0.050000000000000044,0
544,3.0,33,0.050000000000000044,0
545,3.0,31,0.050000000000000044,0
546,3.0,31,0.050000000000000044,0
547,3.0,35,0.050000000000000044,0
548,3.0,32,0.050000000000000044,0
549,3.0,32,0.050000000000000044,0
550,3.0,31,0.050000000000000044,0
551,3.0,33,0.050000000000000044,0
