episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,100042,-5.506516206594622,1007,death,1,0,11,1,131,280.0,100.0,False
2,100043,61.32962387004249,2946,death,1,0,38,1,417,820.0,100.0,False
3,100044,-3.64058860635755,1103,death,1,0,12,1,146,300.0,100.0,False
4,100045,20.15669123150843,1548,death,1,0,21,1,218,480.0,100.0,False
5,100046,6.766329519235047,1352,death,1,0,16,1,181,380.0,100.0,False
6,100047,22.955047254672092,1871,death,1,0,23,1,263,510.0,100.0,False
7,100048,9.303426137703905,1415,death,1,0,17,1,198,400.0,100.0,False
8,100049,61.26955833809173,2969,death,1,0,38,1,420,820.0,100.0,False
9,100050,-7.232192701889897,962,death,1,0,10,1,126,260.0,100.0,False
10,100051,-5.347392867565162,1008,death,1,0,11,1,134,280.0,100.0,False
11,100052,10.62977069520905,1538,death,1,0,18,1,210,420.0,100.0,False
12,100053,18.786442439886077,1733,death,1,0,21,1,244,480.0,100.0,False
13,100054,23.86406242906097,1867,death,1,0,23,1,263,520.0,100.0,False
14,100055,11.462770245221773,1518,death,1,0,18,1,213,420.0,100.0,False
15,100056,14.172514110968677,1609,death,1,0,19,1,226,440.0,100.0,False
16,100057,4.006344618797474,1290,death,1,0,15,1,173,360.0,100.0,False
17,100058,-1.2326572966943488,1178,death,1,0,13,1,158,320.0,100.0,False
18,100059,6.674907979561745,1348,death,1,0,16,1,188,370.0,100.0,False
19,100060,-28.57682420576536,434,death,1,0,1,1,7,70.0,100.0,False
20,100061,16.544622180681536,1662,death,1,0,20,1,234,460.0,100.0,False
