episode,seed,return,steps,termination,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
1,104200,-27.452184173584055,276,death,1,0,1,1,10,70.0,100.0,False
2,104201,-27.37631421661384,278,death,1,0,1,1,10,70.0,100.0,False
3,104202,-35.746576180458035,260,death,1,0,2,0,6,50.0,100.0,False
4,104203,-27.365866321563786,272,death,1,0,1,1,10,70.0,100.0,False
5,104204,-35.805632094383206,252,death,1,0,2,0,5,50.0,100.0,False
6,104205,-27.38244585895546,287,death,1,0,1,1,10,70.0,100.0,False
7,104206,-27.43733814048774,274,death,1,0,1,1,9,70.0,100.0,False
8,104207,-27.442834149360728,278,death,1,0,1,1,9,70.0,100.0,False
9,104208,-27.358627500057302,276,death,1,0,1,1,10,70.0,100.0,False
10,104209,-27.441854891777112,270,death,1,0,1,1,10,70.0,100.0,False
